GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
04222,"Augusta-Richmond County, GA--SC Urban Area","Augusta, GA",13245,430939,187263,273.292,2.224,33.485271,-82.001784
04276,"Aurora, MO Urban Area","Aurora, MO",29109,7878,3693,5.278,0.016,36.965645,-93.720407
04357,"Austin, MN Urban Area","Austin, MN",27099,25531,10769,10.047,0.098,43.668767,-92.976697
04384,"Austin, TX Urban Area","Austin, TX",48453,1855197,808591,619.621,4.895,30.380036,-97.765795
04438,"Avalon, CA Urban Area","Avalon, CA",06037,3290,1832,1.189,0.0,33.34166,-118.329744
04465,"Avenal, CA Urban Area","Avenal, CA",06031,12824,2937,3.629,0.0,36.000567,-120.132966
04587,"Aztec, NM Urban Area","Aztec, NM",35045,7327,3247,6.783,0.102,36.828868,-108.000173
04627,"Bainbridge, GA Urban Area","Bainbridge, GA",13087,12472,6022,10.676,0.237,30.906213,-84.572652
04654,"Baker City, OR Urban Area","Baker City, OR",41001,10066,4724,4.479,0.0,44.780684,-117.83368
04681,"Bakersfield, CA Urban Area","Bakersfield, CA",06029,574397,187970,132.121,0.983,35.365109,-119.049231
04843,"Baltimore, MD Urban Area","Baltimore, MD",24005,2201888,948420,654.935,21.539,39.23648,-76.642499
04924,"Bandon, OR Urban Area","Bandon, OR",41011,4442,2777,4.867,0.016,43.106208,-124.420961
04951,"Bangor, ME Urban Area","Bangor, ME",23019,62028,28584,51.116,1.862,44.798865,-68.806636
05005,"Baraboo, WI Urban Area","Baraboo, WI",55111,13924,6773,6.764,0.083,43.46854,-89.748766
05032,"Barbourville, KY Urban Area","Barbourville, KY",21121,5653,2678,5.297,0.028,36.860167,-83.870451
05040,"Barceloneta--Florida--Bajadero, PR Urban Area","Barceloneta, PR",72013,65521,29191,41.701,0.028,18.41848,-66.606724
05059,"Bardstown, KY Urban Area","Bardstown, KY",21179,18237,8041,13.37,0.105,37.830694,-85.459261
05113,"Barnesville, GA Urban Area","Barnesville, GA",13171,6668,2857,5.814,0.042,33.056346,-84.160191
05167,"Barnstable Town, MA Urban Area","Barnstable Town, MA",25001,303710,196034,341.279,34.86,41.627072,-70.61661
05221,"Barre--Montpelier, VT Urban Area","Barre, VT",50023,20644,10247,14.39,0.16,44.212909,-72.526918
05302,"Barstow, CA Urban Area","Barstow, CA",06071,29904,11921,12.382,0.0,34.886704,-117.032814
05329,"Bartlesville, OK Urban Area","Bartlesville, OK",40147,39594,17912,19.761,0.012,36.74927,-95.943864
05383,"Bartow, FL Urban Area","Bartow, FL",12105,18570,7388,7.914,0.258,27.890152,-81.838405
05410,"Basalt, CO Urban Area","Basalt, CO",08037,8194,3688,3.642,0.027,39.38358,-107.080731
05437,"Bastrop, LA Urban Area","Bastrop, LA",22067,12065,5639,10.328,0.041,32.776054,-91.911145
05464,"Bastrop, TX Urban Area","Bastrop, TX",48021,20940,8460,18.131,0.24,30.10718,-97.344734
05491,"Batavia, NY Urban Area","Batavia, NY",36037,17157,8607,8.069,0.046,43.002881,-78.176038
05518,"Batesburg-Leesville, SC Urban Area","Batesburg, SC",45063,4841,2446,5.6,0.063,33.908796,-81.529076
05545,"Batesville, AR Urban Area","Batesville, AR",05063,11221,5020,7.843,0.009,35.779394,-91.630531
05572,"Batesville, IN Urban Area","Batesville, IN",18137,7678,3120,5.474,0.068,39.30081,-85.215672
05599,"Batesville, MS Urban Area","Batesville, MS",28107,5927,2550,6.28,0.0,34.319332,-89.94112
05653,"Bath, NY Urban Area","Bath, NY",36101,6355,3465,2.905,0.095,42.339846,-77.312811
05680,"Baton Rouge, LA Urban Area","Baton Rouge, LA",22033,634486,276872,396.341,4.367,30.410839,-91.032862
05707,"Battle Creek, MI Urban Area","Battle Creek, MI",26025,76134,34747,47.332,1.602,42.313131,-85.20252
05734,"Battlement Mesa, CO Urban Area","Battlement Mesa, CO",08045,6642,2811,3.064,0.022,39.442496,-108.043023
05788,"Baxley, GA Urban Area","Baxley, GA",13001,5752,2746,6.259,0.005,31.771186,-82.346883
05842,"Bayard, NM Urban Area","Bayard, NM",35017,5137,2685,3.114,0.025,32.695934,-108.118383
05869,"Bay City, MI Urban Area","Bay City, MI",26017,67831,33061,39.932,1.139,43.608667,-83.890414
05896,"Bay City, TX Urban Area","Bay City, TX",48321,19196,8867,10.414,0.016,28.985126,-95.951212
05923,"Bay Minette, AL Urban Area","Bay Minette, AL",01003,8050,3305,6.955,0.055,30.881721,-87.777638
05935,"Bayside Gardens--Manzanita, OR Urban Area","Bayside Gardens, OR",41057,2811,3039,2.981,0.001,45.71741,-123.918666
05958,"Bealeton, VA Urban Area","Bealeton, VA",51061,5436,1821,4.369,0.008,38.571106,-77.769645
05977,"Beardstown, IL Urban Area","Beardstown, IL",17017,6236,2388,2.139,0.037,40.011448,-90.425261
06004,"Beatrice, NE Urban Area","Beatrice, NE",31067,12233,6105,8.691,0.065,40.274298,-96.744552
06031,"Beaufort--Port Royal, SC Urban Area","Beaufort, SC",45013,54015,22517,43.76,0.548,32.430552,-80.714653
06058,"Beaumont, TX Urban Area","Beaumont, TX",48245,144707,66732,96.099,1.474,30.110762,-94.129316
06085,"Beaver Dam, KY Urban Area","Beaver Dam, KY",21183,5394,2172,3.402,0.009,37.406682,-86.87647
06112,"Beaver Dam, WI Urban Area","Beaver Dam, WI",55027,18645,8984,9.384,0.028,43.471648,-88.82927
06139,"Beckley, WV Urban Area","Beckley, WV",54081,56311,27437,53.636,0.167,37.789184,-81.229955
06166,"Bedford, IN Urban Area","Bedford, IN",18093,14197,7173,8.508,0.001,38.862636,-86.498249
06193,"Bedford, PA Urban Area","Bedford, PA",42009,4164,2237,3.838,0.104,40.032726,-78.508804
06220,"Bedford, VA Urban Area","Bedford, VA",51019,7479,3596,8.576,0.012,37.339142,-79.524904
06247,"Beebe, AR Urban Area","Beebe, AR",05145,6923,3119,4.474,0.0,35.07041,-91.89251
06274,"Beeville, TX Urban Area","Beeville, TX",48025,13413,5769,6.313,0.0,28.406366,-97.748367
06290,"Bel Air--Aberdeen, MD Urban Area","Bel Air, MD",24025,216106,86885,107.198,1.396,39.510202,-76.286724
06301,"Belding, MI Urban Area","Belding, MI",26067,5712,2181,2.908,0.06,43.09647,-85.234104
06335,"Belfair, WA Urban Area","Belfair, WA",53045,5454,3139,5.349,0.001,47.445989,-122.8604
06355,"Belfast, ME Urban Area","Belfast, ME",23027,4439,3003,3.522,0.018,44.41684,-68.99446
06382,"Belgrade, MT Urban Area","Belgrade, MT",30031,19429,7984,13.349,0.041,45.7759,-111.18265
06436,"Bellefontaine, OH Urban Area","Bellefontaine, OH",39091,13950,6912,6.211,0.0,40.359387,-83.753111
06463,"Bellefonte, PA Urban Area","Bellefonte, PA",42027,15623,6538,7.84,0.0,40.911329,-77.786548
06490,"Belle Fourche, SD Urban Area","Belle Fourche, SD",46019,4864,2291,2.86,0.0,44.665885,-103.850796
06517,"Belle Glade, FL Urban Area","Belle Glade, FL",12099,22597,7226,7.21,0.0,26.683623,-80.67831
06571,"Belle Plaine, MN Urban Area","Belle Plaine, MN",27139,6963,2571,3.549,0.0,44.61807,-93.759712
06625,"Bellevue, OH Urban Area","Bellevue, OH",39143,8429,3846,4.47,0.07,41.277074,-82.84458
06652,"Bellingham, WA Urban Area","Bellingham, WA",53073,130771,59068,50.132,2.915,48.773005,-122.480881
06679,"Bellows Falls, VT--NH Urban Area","Bellows Falls, VT",50025,3802,2063,2.421,0.046,43.131472,-72.449764
06760,"Beloit, WI--IL Urban Area","Beloit, WI",55105,63516,25535,31.936,0.836,42.503862,-89.027523
06770,"Belterra, TX Urban Area","Belterra, TX",48209,11166,3549,3.359,0.0,30.188169,-97.987033
06779,"Belton, SC Urban Area","Belton, SC",45007,4898,1966,4.562,0.011,34.527111,-82.49847
06841,"Bemidji, MN Urban Area","Bemidji, MN",27007,14626,6855,14.459,1.045,47.48452,-94.89423
06868,"Bend, OR Urban Area","Bend, OR",41017,109902,49901,42.407,0.304,44.050969,-121.31822
06895,"Bennettsville, SC Urban Area","Bennettsville, SC",45069,8407,4599,7.47,0.494,34.621515,-79.684769
06922,"Bennington, VT Urban Area","Bennington, VT",50003,13266,5921,11.633,0.116,42.899989,-73.204499
06949,"Benson, AZ Urban Area","Benson, AZ",04003,4008,2521,2.714,0.002,31.961786,-110.294175
07030,"Benton, IL Urban Area","Benton, IL",17055,7642,3832,4.982,0.02,38.000944,-88.919648
07057,"Benton, KY Urban Area","Benton, KY",21157,4710,2235,4.127,0.055,36.851835,-88.359536
07084,"Benton, LA Urban Area","Benton, LA",22015,4392,1788,4.476,0.007,32.672625,-93.725459
07138,"Benton Harbor--Lincoln--St. Joseph, MI Urban Area","Benton Harbor, MI",26021,62731,31435,52.528,1.244,42.052276,-86.480381
07165,"Berea, KY Urban Area","Berea, KY",21151,16978,6567,11.478,0.052,37.583562,-84.293019
07192,"Berlin, NH Urban Area","Berlin, NH",33007,9994,5294,4.944,0.174,44.482025,-71.16291
07219,"Berlin, WI Urban Area","Berlin, WI",55047,5063,2470,3.455,0.013,43.970639,-88.947368
07300,"Berryville, AR Urban Area","Berryville, AR",05015,4941,2117,4.182,0.0,36.369166,-93.563263
07381,"Bethel, AK Urban Area","Bethel, AK",02050,4794,1930,15.0,0.252,60.7653,-161.804893
07472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL Urban Area","Beverly Hills, FL",12017,99544,52145,118.827,3.69,28.892909,-82.443778
07508,"Big Bear, CA Urban Area","Big Bear, CA",06071,16187,21296,15.929,0.214,34.244205,-116.854109
07530,"Big Lake, MN Urban Area","Big Lake, MN",27141,12220,4115,5.424,0.821,45.339948,-93.745209
07597,"Big Pine Key, FL Urban Area","Big Pine Key, FL",12087,8952,6118,8.463,0.254,24.661751,-81.414396
07624,"Big Rapids, MI Urban Area","Big Rapids, MI",26107,10776,4805,7.343,0.059,43.692418,-85.481129
07651,"Big Spring, TX Urban Area","Big Spring, TX",48227,26553,11325,20.643,0.234,32.244288,-101.461699
07678,"Big Stone Gap, VA Urban Area","Big Stone Gap, VA",51195,6674,2636,6.581,0.089,36.864971,-82.764885
07705,"Billings, MT Urban Area","Billings, MT",30111,129337,57870,54.7,0.137,45.787459,-108.53712
07732,"Binghamton, NY Urban Area","Binghamton, NY",36007,152898,71962,69.729,3.066,42.10852,-75.964231
07759,"Birch Bay, WA Urban Area","Birch Bay, WA",53073,16768,8583,13.056,0.152,48.947603,-122.735883
07770,"Birdsboro--Amity, PA Urban Area","Birdsboro, PA",42011,16870,6643,8.562,0.011,40.265603,-75.749569
07786,"Birmingham, AL Urban Area","Birmingham, AL",01073,774698,349875,509.272,3.591,33.475252,-86.784185
07813,"Bisbee, AZ Urban Area","Bisbee, AZ",04003,4574,3046,3.153,0.0,31.403482,-109.92094
07840,"Bishop, CA Urban Area","Bishop, CA",06027,11396,5314,5.49,0.007,37.365976,-118.415939
07921,"Bismarck, ND Urban Area","Bismarck, ND",38015,98700,46207,41.854,0.404,46.819848,-100.801005
07948,"Blackfoot, ID Urban Area","Blackfoot, ID",16011,14523,5458,7.513,0.177,43.198466,-112.359362
07975,"Black River Falls, WI Urban Area","Black River Falls, WI",55053,4289,2139,3.704,0.003,44.296885,-90.849189
08002,"Blacksburg--Christiansburg, VA Urban Area","Blacksburg, VA",51121,71691,29706,33.979,0.052,37.185325,-80.41322
08083,"Blackwell, OK Urban Area","Blackwell, OK",40071,5886,3089,3.844,0.007,36.800234,-97.291627
08137,"Blair, NE Urban Area","Blair, NE",31177,8022,3645,8.181,0.0,41.536927,-96.122542
08164,"Blairsville, PA Urban Area","Blairsville, PA",42063,5937,3225,5.221,0.002,40.443953,-79.264054
08353,"Bloomfield, NM Urban Area","Bloomfield, NM",35045,7549,3182,6.248,0.034,36.715582,-107.975039
08380,"Bloomington, IN Urban Area","Bloomington, IN",18105,109904,51364,43.036,0.005,39.166091,-86.552907
08407,"Bloomington--Normal, IL Urban Area","Bloomington, IL",17113,134278,60058,50.362,0.221,40.493771,-88.978991
08434,"Bloomsburg--Berwick, PA Urban Area","Bloomsburg, PA",42037,40149,18491,20.745,0.535,41.027288,-76.36377
08470,"Blowing Rock, NC Urban Area","Blowing Rock, NC",37189,858,1880,3.199,0.044,36.129182,-81.666326
08515,"Bluefield, WV--VA Urban Area","Bluefield, WV",54055,41564,20869,38.699,0.139,37.269528,-81.255889
08542,"Bluffton, IN Urban Area","Bluffton, IN",18179,10393,4813,6.504,0.077,40.751443,-85.162221
