GEOID,Name,Short Name,CSA,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
21980,"Fallon, NV","Fallon, NV",456,25614,10924,4950.157,73.646,39.53771,-118.264166
22020,"Fargo, ND-MN","Fargo, ND",244,254914,114738,2810.111,10.329,46.914859,-96.960183
22060,"Faribault-Northfield, MN","Faribault, MN",378,67389,25173,495.799,20.104,44.350775,-93.298513
22100,"Farmington, MO","Farmington, MO",476,66864,28815,451.886,2.787,37.810707,-90.473868
22140,"Farmington, NM","Farmington, NM",,121178,48085,5517.23,21.197,36.511624,-108.324578
22180,"Fayetteville, NC","Fayetteville, NC",246,389851,163767,1042.719,7.437,35.037956,-78.982209
22190,"Fayetteville, TN","Fayetteville, TN",290,35617,16124,570.342,0.375,35.142784,-86.593403
22220,"Fayetteville-Springdale-Rogers, AR","Fayetteville, AR",,563436,229369,2623.443,50.259,36.116394,-94.079545
22260,"Fergus Falls, MN","Fergus Falls, MN",,60281,36669,1971.636,252.691,46.405727,-95.714581
22300,"Findlay, OH","Findlay, OH",248,74885,33871,531.324,2.326,41.000217,-83.665947
22340,"Fitzgerald, GA","Fitzgerald, GA",,17138,8135,250.119,3.789,31.730583,-83.162961
22380,"Flagstaff, AZ","Flagstaff, AZ",,144643,69907,18616.366,45.021,35.829692,-111.773728
22420,"Flint, MI","Flint, MI",220,404087,183729,636.946,12.641,43.021077,-83.706372
22500,"Florence, SC","Florence, SC",,199675,91063,1361.083,9.445,34.153574,-79.806164
22520,"Florence-Muscle Shoals, AL","Florence, AL",250,152685,72688,1261.002,82.115,34.799254,-87.719388
22540,"Fond du Lac, WI","Fond du Lac, WI",,104053,45908,719.566,46.276,43.754722,-88.493284
22580,"Forest City, NC","Forest City, NC",,64850,32682,565.437,1.812,35.402747,-81.919582
22620,"Forrest City, AR","Forrest City, AR",368,22740,9583,634.784,7.729,35.022838,-90.751506
22660,"Fort Collins-Loveland, CO","Fort Collins, CO",,363561,161882,2595.745,38.243,40.658093,-105.486764
22700,"Fort Dodge, IA","Fort Dodge, IA",,36848,17053,715.704,2.807,42.433579,-94.175831
22780,"Fort Leonard Wood, MO","Fort Leonard Wood, MO",,53850,19374,547.113,4.368,37.824835,-92.207022
22800,"Fort Madison, IA","Fort Madison, IA",161,33175,15808,517.55,21.339,40.647588,-91.477157
22820,"Fort Morgan, CO","Fort Morgan, CO",,29186,11670,1280.493,13.376,40.262085,-103.807235
22840,"Fort Payne, AL","Fort Payne, AL",290,71946,30853,777.077,1.586,34.460915,-85.804021
22900,"Fort Smith, AR-OK","Fort Smith, AR",,228916,100960,1800.027,64.287,35.429088,-94.448349
23060,"Fort Wayne, IN","Fort Wayne, IN",258,451440,191399,1360.855,7.343,41.006999,-85.216424
23140,"Frankfort, IN","Frankfort, IN",320,32967,13496,405.067,0.178,40.305944,-86.477567
23180,"Frankfort, KY","Frankfort, KY",336,75661,34278,410.172,6.121,38.121449,-84.933167
23190,"Franklin, KY","Franklin, KY",150,19786,8456,234.185,2.28,36.740929,-86.581787
23240,"Fredericksburg, TX","Fredericksburg, TX",484,27202,14255,1058.205,3.473,30.325095,-98.941845
23300,"Freeport, IL","Freeport, IL",466,44042,21375,564.247,0.521,42.349726,-89.665994
23340,"Fremont, NE","Fremont, NE",420,37146,16553,528.844,14.158,41.577008,-96.645852
23380,"Fremont, OH","Fremont, OH",184,58770,26475,408.246,9.464,41.355319,-83.142776
23420,"Fresno, CA","Fresno, CA",260,1170942,392371,8095.291,69.075,36.879404,-119.668488
23460,"Gadsden, AL","Gadsden, AL",,103208,47487,535.143,13.485,34.047641,-86.034263
23500,"Gaffney, SC","Gaffney, SC",273,56299,24945,392.967,4.554,35.049796,-81.607647
23540,"Gainesville, FL","Gainesville, FL",264,344521,154596,2343.622,571.375,29.453355,-82.666257
23580,"Gainesville, GA","Gainesville, GA",122,208395,79233,392.508,36.119,34.317569,-83.8185
23620,"Gainesville, TX","Gainesville, TX",206,42473,17841,874.826,23.676,33.639196,-97.210343
23660,"Galesburg, IL","Galesburg, IL",,49294,23788,716.355,3.442,40.930945,-90.213792
23680,"Gallipolis, OH","Gallipolis, OH",,29162,13454,466.53,4.667,38.817046,-82.301746
23700,"Gallup, NM","Gallup, NM",,71172,25213,5451.064,4.899,35.584062,-108.253294
23780,"Garden City, KS","Garden City, KS",,38001,14279,1301.997,0.663,38.049808,-100.739967
23820,"Gardnerville Ranchos, NV-CA","Gardnerville Ranchos, NV",456,51319,26186,1448.878,32.718,38.73469,-119.714259
23900,"Gettysburg, PA","Gettysburg, PA",276,105183,43377,518.576,3.146,39.869437,-77.21775
23940,"Gillette, WY","Gillette, WY",,47018,19952,4802.065,4.251,44.189686,-105.52614
23980,"Glasgow, KY","Glasgow, KY",150,55042,24826,777.016,14.173,36.967571,-85.815497
24020,"Glens Falls, NY","Glens Falls, NY",104,126443,69288,1698.412,79.137,43.44045,-73.636757
24100,"Gloversville, NY","Gloversville, NY",104,52787,28169,495.46,37.419,43.115609,-74.423678
24140,"Goldsboro, NC","Goldsboro, NC",,117606,53134,553.922,3.8,35.35419,-78.00867
24180,"Granbury, TX","Granbury, TX",206,64198,28796,420.742,16.118,32.430149,-97.831677
24220,"Grand Forks, ND-MN","Grand Forks, ND",,103669,48406,3407.212,29.997,47.835929,-96.842681
24260,"Grand Island, NE","Grand Island, NE",,76619,31854,1603.593,20.923,41.083926,-98.374218
24300,"Grand Junction, CO","Grand Junction, CO",,157316,68861,3328.721,12.352,39.019524,-108.460571
24330,"Grand Rapids, MN","Grand Rapids, MN",228,45141,25589,2667.474,260.315,47.490817,-93.611102
24340,"Grand Rapids-Wyoming-Kentwood, MI","Grand Rapids, MI",266,1154320,463653,3242.818,1138.37,42.979841,-85.715614
24420,"Grants Pass, OR","Grants Pass, OR",366,88069,39217,1638.649,2.174,42.386983,-123.57162
24460,"Great Bend, KS","Great Bend, KS",,25275,12373,895.257,5.377,38.481239,-98.767837
24500,"Great Falls, MT","Great Falls, MT",,84601,39248,2698.211,13.243,47.316575,-111.350262
24540,"Greeley, CO","Greeley, CO",216,340711,125033,3984.963,31.783,40.555961,-104.383666
24580,"Green Bay, WI","Green Bay, WI",267,329375,147446,1870.028,978.839,44.474024,-87.99613
24600,"Greencastle, IN","Greencastle, IN",294,37091,15148,480.536,2.158,39.665548,-86.853373
24620,"Greeneville, TN","Greeneville, TN",304,70919,32470,622.169,1.969,36.179487,-82.847523
24640,"Greenfield, MA","Greenfield, MA",521,70922,34424,699.209,25.326,42.584504,-72.591792
24660,"Greensboro-High Point, NC","Greensboro, NC",268,779894,342062,1993.971,26.412,36.025204,-79.792633
24700,"Greensburg, IN","Greensburg, IN",294,26411,11619,372.568,0.755,39.30598,-85.499831
24740,"Greenville, MS","Greenville, MS",,43674,20894,724.147,36.218,33.273174,-90.944446
24780,"Greenville, NC","Greenville, NC",274,172279,81656,652.366,3.184,35.59249,-77.372739
24820,"Greenville, OH","Greenville, OH",212,51655,22643,598.102,1.639,40.131319,-84.621287
24860,"Greenville-Anderson-Greer, SC","Greenville, SC",273,945301,413652,2709.622,77.406,34.683709,-82.413423
24900,"Greenwood, MS","Greenwood, MS",,37260,17593,1222.462,18.502,33.491305,-90.113633
24940,"Greenwood, SC","Greenwood, SC",273,93681,43267,946.801,28.754,34.190755,-82.296677
24980,"Grenada, MS","Grenada, MS",,31050,15767,829.094,28.199,33.637983,-89.714583
25020,"Guayama, PR","Guayama, PR",490,67171,34381,126.651,91.016,17.979155,-66.069473
25060,"Gulfport-Biloxi, MS","Gulfport, MS",,418452,187371,2215.927,813.007,30.480153,-88.999297
25100,"Guymon, OK","Guymon, OK",,20880,8462,2041.293,7.401,36.746317,-101.483855
25180,"Hagerstown-Martinsburg, MD-WV","Hagerstown, MD",548,298525,125658,1008.016,10.529,39.554433,-77.984594
25200,"Hailey, ID","Hailey, ID",,31010,18436,4913.336,26.175,43.325486,-114.19734
25220,"Hammond, LA","Hammond, LA",132,135218,58663,791.18,52.768,30.621348,-90.40649
25260,"Hanford-Corcoran, CA","Hanford, CA",260,152830,46695,1390.972,1.222,36.072478,-119.81553
25300,"Hannibal, MO","Hannibal, MO",448,38887,17922,906.725,21.411,39.664055,-91.57929
25420,"Harrisburg-Carlisle, PA","Harrisburg, PA",276,597894,257534,1621.803,42.202,40.335915,-77.05049
25460,"Harrison, AR","Harrison, AR",,45071,21502,1410.799,14.569,36.087809,-93.162053
25500,"Harrisonburg, VA","Harrisonburg, VA",277,136231,54749,867.132,4.158,38.507612,-78.885329
25540,"Hartford-West Hartford-East Hartford, CT","Hartford, CT",405,1144012,498040,1451.476,111.911,41.688038,-72.545112
25580,"Hastings, NE","Hastings, NE",,40503,18439,1710.463,2.35,40.404569,-98.349062
25620,"Hattiesburg, MS","Hattiesburg, MS",279,154567,66658,1609.886,10.551,31.188441,-89.232741
25700,"Hays, KS","Hays, KS",,28870,13247,899.934,0.44,38.914597,-99.317313
25720,"Heber, UT","Heber, UT",482,78517,41652,3047.626,40.594,40.699219,-111.020425
25740,"Helena, MT","Helena, MT",,92391,42389,6307.737,87.352,46.715752,-112.135155
25770,"Hemlock Farms, PA","Hemlock Farms, PA",408,59691,39948,544.896,21.923,41.325949,-75.031514
25775,"Henderson, KY","Henderson, KY",241,57366,25837,768.388,32.82,37.677139,-87.626242
25780,"Henderson, NC","Henderson, NC",450,42361,19423,252.401,16.285,36.365481,-78.405434
25820,"Hereford, TX","Hereford, TX",,18487,6993,1496.822,1.516,34.940766,-102.607564
25840,"Hermiston-Pendleton, OR","Hermiston, OR",,92336,36506,5245.979,33.201,45.544602,-119.076191
25850,"Hermitage, PA","Hermitage, PA",430,109852,50884,672.538,10.025,41.300014,-80.252786
25860,"Hickory-Lenoir-Morganton, NC","Hickory, NC",172,366972,165443,1639.486,29.017,35.814295,-81.456584
25880,"Hillsdale, MI","Hillsdale, MI",,45658,21490,598.167,8.842,41.927461,-84.637479
25900,"Hilo-Kailua, HI","Hilo, HI",,203684,89786,4028.431,1057.735,19.597764,-155.502443
25940,"Hilton Head Island-Bluffton-Port Royal, SC","Hilton Head Island, SC",,222781,115045,1231.156,393.905,32.386792,-80.830877
25980,"Hinesville, GA","Hinesville, GA",496,84338,33833,916.862,89.478,31.778788,-81.57648
26020,"Hobbs, NM","Hobbs, NM",,73154,28125,4391.552,3.146,32.795687,-103.413271
26090,"Holland, MI","Holland, MI",266,120913,52262,825.43,1007.859,42.421251,-86.261403
26140,"Homosassa Springs, FL","Homosassa Springs, FL",,158693,83417,582.031,378.71,28.850293,-82.595551
26220,"Hood River, OR","Hood River, OR",,23958,10210,522.194,11.214,45.511775,-121.655976
26300,"Hot Springs, AR","Hot Springs, AR",284,100062,52570,677.615,56.932,34.578852,-93.146932
26340,"Houghton, MI","Houghton, MI",,39534,21073,1549.215,5918.569,47.367297,-88.351332
26380,"Houma-Bayou Cane-Thibodaux, LA","Houma, LA",,204032,88400,2299.581,1251.092,29.33413,-90.843674
26420,"Houston-Pasadena-The Woodlands, TX","Houston, TX",288,7274714,2839496,8838.917,1232.829,29.801005,-95.34262
26460,"Hudson, NY","Hudson, NY",104,61245,33331,634.663,13.541,42.247696,-73.626718
26500,"Huntingdon, PA","Huntingdon, PA",107,43844,20932,874.592,14.615,40.422311,-77.968595
26540,"Huntington, IN","Huntington, IN",258,36757,16275,382.639,5.068,40.826394,-85.478597
26580,"Huntington-Ashland, WV-KY-OH","Huntington, WV",170,372801,173587,2915.52,40.916,38.357487,-82.579994
26620,"Huntsville, AL","Huntsville, AL",290,504712,218196,1365.017,54.885,34.783262,-86.734871
26660,"Huntsville, TX","Huntsville, TX",288,78292,29626,784.228,17.271,30.743163,-95.569825
26700,"Huron, SD","Huron, SD",,19279,8453,1258.698,6.114,44.418265,-98.279422
26740,"Hutchinson, KS","Hutchinson, KS",,61693,28309,1255.307,16.802,37.948185,-98.078346
26780,"Hutchinson, MN","Hutchinson, MN",378,36771,15936,491.51,14.067,44.821657,-94.272323
26820,"Idaho Falls, ID","Idaho Falls, ID",292,161944,58199,5196.128,48.394,43.620423,-112.420919
26860,"Indiana, PA","Indiana, PA",430,83213,37672,827.394,6.983,40.651432,-79.087545
26900,"Indianapolis-Carmel-Greenwood, IN","Indianapolis, IN",294,2106327,898849,4085.971,32.608,39.790533,-86.12426
26980,"Iowa City, IA","Iowa City, IA",168,177420,76849,1181.826,12.127,41.517806,-91.64793
27020,"Iron Mountain, MI-WI","Iron Mountain, MI",361,30557,18600,1248.979,24.942,45.947705,-88.08097
27060,"Ithaca, NY","Ithaca, NY",296,102879,47362,474.65,16.898,42.453006,-76.473483
27100,"Jackson, MI","Jackson, MI",,160187,69188,701.905,21.588,42.248474,-84.420868
27140,"Jackson, MS","Jackson, MS",298,615908,270686,6014.253,90.253,32.426311,-90.136422
27180,"Jackson, TN","Jackson, TN",,180844,79784,1711.184,2.789,35.753215,-88.882692
27220,"Jackson, WY-ID","Jackson, WY",,35459,19702,4445.936,221.521,44.048662,-110.426087
27260,"Jacksonville, FL","Jacksonville, FL",300,1645707,713833,3201.859,496.574,30.234138,-81.756058
27300,"Jacksonville, IL","Jacksonville, IL",522,37468,17426,819.748,5.355,39.69395,-90.285047
27340,"Jacksonville, NC","Jacksonville, NC",,208537,85917,762.085,143.108,34.763109,-77.499469
27380,"Jacksonville, TX","Jacksonville, TX",540,51143,20964,1052.954,9.219,31.843879,-95.156343
27420,"Jamestown, ND","Jamestown, ND",,21525,10397,2221.904,76.167,46.972223,-98.956123
27460,"Jamestown-Dunkirk, NY","Jamestown, NY",,126329,66328,1060.41,439.782,42.304216,-79.407595
27500,"Janesville-Beloit, WI","Janesville, WI",357,163944,70694,718.168,7.99,42.66988,-89.075284
27540,"Jasper, IN","Jasper, IN",,43563,18715,427.267,8.067,38.373344,-86.873385
27600,"Jefferson, GA","Jefferson, GA",122,80640,29389,339.7,3.392,34.130905,-83.562557
27620,"Jefferson City, MO","Jefferson City, MO",190,150147,64648,2247.711,30.894,38.636885,-92.088876
27700,"Jesup, GA","Jesup, GA",496,30519,12590,641.813,6.86,31.547845,-81.912376
27740,"Johnson City, TN","Johnson City, TN",304,208934,98148,853.9,10.002,36.265822,-82.332693
27780,"Johnstown, PA","Johnstown, PA",306,132355,64494,687.963,5.268,40.510209,-78.710488
27860,"Jonesboro, AR","Jonesboro, AR",308,134837,58401,1465.462,10.888,35.696978,-90.650175
27900,"Joplin, MO-KS","Joplin, MO",309,202258,87651,1850.826,8.044,37.092135,-94.500651
27940,"Juneau, AK","Juneau, AK",,31969,14170,2702.924,555.066,58.37291,-134.178445
27980,"Kahului-Wailuku, HI","Kahului, HI",,164675,72398,1173.531,1277.625,20.855931,-156.60155
28020,"Kalamazoo-Portage, MI","Kalamazoo, MI",310,261437,114463,561.959,18.342,42.246266,-85.532854
28060,"Kalispell, MT","Kalispell, MT",,108445,50948,5087.304,168.709,48.295422,-114.052059
28100,"Kankakee, IL","Kankakee, IL",176,106833,45396,676.49,4.81,41.13951,-87.861117
28140,"Kansas City, MO-KS","Kansas City, MO",312,2202006,950404,7256.547,116.294,38.931857,-94.443841
28180,"Kapaa, HI","Kapaa, HI",,73610,30392,619.84,646.474,22.012038,-159.705965
28260,"Kearney, NE","Kearney, NE",,57020,24166,1484.439,7.309,40.738595,-99.031788
28300,"Keene, NH","Keene, NH",313,76945,35777,706.725,22.219,42.92546,-72.248183
28340,"Kendallville, IN","Kendallville, IN",258,47417,20212,410.843,6.59,41.404679,-85.417271
28380,"Kennett, MO","Kennett, MO",,27795,13451,541.909,5.293,36.153025,-90.062254
28420,"Kennewick-Richland, WA","Kennewick, WA",314,307900,112280,2941.723,82.936,46.364155,-119.254927
28450,"Kenosha, WI","Kenosha, WI",176,168413,72897,271.833,482.192,42.587526,-87.879996
28500,"Kerrville, TX","Kerrville, TX",484,53166,25439,1103.333,3.95,30.053563,-99.374682
28540,"Ketchikan, AK","Ketchikan, AK",,13870,6659,4857.091,1820.468,55.449938,-131.106685
28580,"Key West-Key Largo, FL","Key West, FL",370,81840,54418,983.043,4306.522,25.58612,-81.022603
28620,"Kill Devil Hills, NC","Kill Devil Hills, NC",545,37534,34839,383.229,1158.505,35.606269,-75.767536
28660,"Killeen-Temple, TX","Killeen, TX",,485850,190840,2818.612,42.068,31.20273,-97.789638
28680,"Kingsland, GA","Kingsland, GA",300,56036,23192,630.273,151.635,30.913358,-81.642019
28700,"Kingsport-Bristol, TN-VA","Kingsport, TN",304,309580,149151,2010.495,36.99,36.604161,-82.440145
28740,"Kingston, NY","Kingston, NY",408,182109,86178,1124.236,36.524,41.947212,-74.265458
28780,"Kingsville, TX","Kingsville, TX",204,30629,13984,881.306,208.897,27.438735,-97.66062
28820,"Kinston, NC","Kinston, NC",,54917,26767,399.087,2.278,35.240066,-77.635514
28860,"Kirksville, MO","Kirksville, MO",,29268,13286,874.629,2.967,40.284489,-92.565124
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY","Kiryas Joel, NY",408,700984,271096,1607.68,55.93,41.575274,-74.033873
28900,"Klamath Falls, OR","Klamath Falls, OR",,69812,33004,5949.897,187.323,42.683761,-121.646168
28940,"Knoxville, TN","Knoxville, TN",315,919553,412448,3500.955,148.901,36.044462,-84.136114
29020,"Kokomo, IN","Kokomo, IN",294,83610,39795,293.074,0.847,40.483537,-86.114118
29060,"Laconia, NH","Laconia, NH",148,64300,38718,401.912,68.098,43.519109,-71.425366
29100,"La Crosse-Onalaska, WI-MN","La Crosse, WI",317,169945,75928,1795.484,69.787,43.698264,-91.11014
29180,"Lafayette, LA","Lafayette, LA",318,410883,185064,2833.687,441.822,30.012961,-92.136552
29200,"Lafayette-West Lafayette, IN","Lafayette, IN",320,225019,96331,1642.221,8.946,40.482153,-87.017112
29260,"La Grande, OR","La Grande, OR",,26192,11786,2036.941,1.906,45.304081,-117.999149
29300,"LaGrange, GA-AL","LaGrange, GA",122,104271,45682,1010.583,38.493,32.970298,-85.24416
29340,"Lake Charles, LA","Lake Charles, LA",324,245973,112016,3000.348,689.267,30.038451,-93.190093
29380,"Lake City, FL","Lake City, FL",264,70755,30066,797.377,3.941,30.221651,-82.623371
29420,"Lake Havasu City-Kingman, AZ","Lake Havasu City, AZ",,217420,119593,13332.121,128.722,35.717705,-113.749689
29460,"Lakeland-Winter Haven, FL","Lakeland, FL",422,760961,329750,1798.466,211.947,27.954854,-81.694301
29470,"Lake of the Woods, VA","Lake of the Woods, VA",548,37208,15895,340.548,2.703,38.249326,-78.011092
29540,"Lancaster, PA","Lancaster, PA",,555151,217863,943.924,39.911,40.041992,-76.250198
29620,"Lansing-East Lansing, MI","Lansing, MI",330,470434,206585,1698.64,16.072,42.713659,-84.605372
29660,"Laramie, WY","Laramie, WY",,37713,18735,4274.175,34.577,41.665514,-105.721883
29700,"Laredo, TX","Laredo, TX",,267731,86727,3361.498,14.094,27.760799,-99.340752
29720,"Lares, PR","Lares, PR",490,27944,12448,61.454,0.187,18.276925,-66.869587
29740,"Las Cruces, NM","Las Cruces, NM",238,221665,91402,3808.179,6.793,32.349919,-106.834968
29780,"Las Vegas, NM","Las Vegas, NM",105,31212,17775,6647.768,22.187,35.644067,-104.863027
29820,"Las Vegas-Henderson-North Las Vegas, NV","Las Vegas, NV",332,2293764,935960,7891.661,169.261,36.21413,-115.014398
29860,"Laurel, MS","Laurel, MS",279,83050,36807,1371.155,6.105,31.825465,-89.148054
29900,"Laurinburg, NC","Laurinburg, NC",246,34353,14421,319.14,1.483,34.840023,-79.477337
29940,"Lawrence, KS","Lawrence, KS",312,119547,53308,455.765,18.871,38.896417,-95.290947
29980,"Lawrenceburg, TN","Lawrenceburg, TN",400,44901,18699,617.13,0.857,35.220476,-87.396546
30020,"Lawton, OK","Lawton, OK",334,127174,55354,1701.959,23.802,34.529113,-98.430902
30060,"Lebanon, MO","Lebanon, MO",,36245,15951,764.684,3.367,37.659698,-92.594843
30140,"Lebanon, PA","Lebanon, PA",276,143592,59582,361.835,0.665,40.371448,-76.464819
30150,"Lebanon-Claremont, NH-VT","Lebanon, NH",,222850,123177,3902.646,67.459,43.785726,-72.159142
30180,"Le Mars, IA","Le Mars, IA",512,25699,10863,862.828,0.84,42.737615,-96.215973
30260,"Lewisburg, PA","Lewisburg, PA",146,42570,16158,315.957,1.78,40.962179,-77.055475
30280,"Lewisburg, TN","Lewisburg, TN",400,35276,14521,375.462,0.696,35.468329,-86.765868
30300,"Lewiston, ID-WA","Lewiston, ID",,64901,28661,1484.396,12.566,46.251696,-116.925017
30340,"Lewiston-Auburn, ME","Lewiston, ME",438,112323,50202,467.956,29.164,44.167681,-70.207435
30380,"Lewistown, PA","Lewistown, PA",,46074,21425,411.037,3.671,40.601615,-77.651832
30420,"Lexington, NE","Lexington, NE",,25949,11114,1471.985,10.171,40.756816,-99.821978
30460,"Lexington-Fayette, KY","Lexington, KY",336,517378,229005,1469.967,14.302,38.102876,-84.438545
30500,"Lexington Park, MD","Lexington Park, MD",548,208163,82038,571.778,537.548,38.312696,-76.527935
30580,"Liberal, KS","Liberal, KS",,21640,8299,639.653,0.757,37.18096,-100.855257
30620,"Lima, OH","Lima, OH",338,101685,44697,402.545,4.306,40.771627,-84.106103
30660,"Lincoln, IL","Lincoln, IL",522,27870,11984,618.052,0.873,40.129277,-89.365309
30700,"Lincoln, NE","Lincoln, NE",339,341309,145370,1408.99,13.278,40.817429,-96.868801
30780,"Little Rock-North Little Rock-Conway, AR","Little Rock, AR",340,753605,340840,4084.08,115.012,34.755773,-92.400589
30820,"Lock Haven, PA","Lock Haven, PA",558,37707,18640,889.63,8.951,41.239508,-77.629009
30860,"Logan, UT-ID","Logan, UT",,151746,50576,1827.706,12.844,41.88902,-111.787438
30900,"Logansport, IN","Logansport, IN",,37703,16389,412.144,2.704,40.753799,-86.355168
30980,"Longview, TX","Longview, TX",,288921,121822,2680.623,42.061,32.431646,-94.684833
31020,"Longview-Kelso, WA","Longview, WA",440,111539,45884,1141.176,25.244,46.196785,-122.67846
31060,"Los Alamos, NM","Los Alamos, NM",105,19374,8660,109.123,0.08,35.870047,-106.307968
31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",348,13012469,4762557,4853.538,845.63,34.108703,-118.182753
31140,"Louisville/Jefferson County, KY-IN","Louisville, KY",350,1361847,597784,3960.836,79.149,38.224363,-85.701989
31180,"Lubbock, TX","Lubbock, TX",352,354782,154226,5264.6,11.208,33.466436,-101.883348
31220,"Ludington, MI","Ludington, MI",,29177,17499,494.969,747.346,43.957196,-86.442937
31260,"Lufkin, TX","Lufkin, TX",,86791,36798,797.867,66.91,31.251896,-94.611134
31300,"Lumberton, NC","Lumberton, NC",246,116858,48874,947.302,1.952,34.63921,-79.100881
31340,"Lynchburg, VA","Lynchburg, VA",,262716,118436,2120.475,26.441,37.364926,-79.216689
31380,"Macomb, IL","Macomb, IL",,27102,13598,589.305,0.795,40.455808,-90.678954
31420,"Macon-Bibb County, GA","Macon, GA",356,234040,104250,1723.59,14.091,32.856216,-83.714305
31500,"Madison, IN","Madison, IN",,33074,14446,360.699,2.313,38.783604,-85.44009
31540,"Madison, WI","Madison, WI",357,683967,309095,3308.838,77.254,43.083846,-89.597745
31580,"Madisonville, KY","Madisonville, KY",,45143,20965,542.325,12.09,37.31107,-87.542196
31620,"Magnolia, AR","Magnolia, AR",,22527,11032,766.065,0.767,33.223038,-93.232843
31680,"Malvern, AR","Malvern, AR",284,33142,14259,614.944,7.23,34.315177,-92.944147
31700,"Manchester-Nashua, NH","Manchester, NH",148,424732,176753,876.53,15.95,42.911532,-71.723055
31740,"Manhattan, KS","Manhattan, KS",,133413,56668,1835.047,53.242,39.268424,-96.562242
31820,"Manitowoc, WI","Manitowoc, WI",,81314,37960,589.309,904.768,44.156137,-87.577352
31860,"Mankato, MN","Mankato, MN",359,103736,43074,1196.34,36.074,44.15479,-94.147798
31900,"Mansfield, OH","Mansfield, OH",360,125138,54616,495.227,4.849,40.774159,-82.542781
31930,"Marietta, OH","Marietta, OH",425,59318,27979,632.162,7.979,39.450676,-81.490636
31940,"Marinette, WI-MI","Marinette, WI",361,65202,42633,2443.509,444.662,45.435279,-87.769216
31980,"Marion, IN","Marion, IN",,66377,29878,414.089,0.812,40.515758,-85.654946
32000,"Marion, NC","Marion, NC",172,44679,21475,439.954,5.397,35.682268,-82.048045
32020,"Marion, OH","Marion, OH",198,65145,27381,403.807,0.351,40.588034,-83.168803
32060,"Marion-Herrin, IL","Marion, IL",166,66902,31957,420.216,24.114,37.730353,-88.930018
32100,"Marquette, MI","Marquette, MI",,66430,33553,1809.071,1615.948,46.656596,-87.584028
32140,"Marshall, MN","Marshall, MN",,25498,11252,714.411,7.257,44.409195,-95.847268
32180,"Marshall, MO","Marshall, MO",,23177,9833,755.51,11.406,39.13584,-93.204164
32260,"Marshalltown, IA","Marshalltown, IA",,39971,16860,572.503,0.696,42.0417,-92.981403
32280,"Martin, TN","Martin, TN",542,32959,15028,580.353,1.431,36.303596,-88.721194
32300,"Martinsville, VA","Martinsville, VA",,63949,32476,393.307,2.087,36.682503,-79.872564
32340,"Maryville, MO","Maryville, MO",,20959,9478,876.964,0.912,40.361136,-94.883146
32380,"Mason City, IA","Mason City, IA",,50165,26217,968.426,8.634,43.213732,-93.274339
32390,"Massena-Ogdensburg, NY","Massena, NY",,107796,51884,2679.534,141.676,44.488112,-75.074311
32420,"Mayagüez, PR","Mayagüez, PR",364,211487,115607,310.055,344.74,18.019226,-67.166638
32460,"Mayfield, KY","Mayfield, KY",424,36612,16437,551.757,5.031,36.723344,-88.649897
32540,"McAlester, OK","McAlester, OK",,43629,22204,1305.512,72.372,34.92554,-95.74813
32580,"McAllen-Edinburg-Mission, TX","McAllen, TX",365,880921,302173,1571.217,11.614,26.396384,-98.18099
32620,"McComb, MS","McComb, MS",,53794,25992,813.113,1.986,31.147972,-90.250227
32660,"McMinnville, TN","McMinnville, TN",,41587,18343,432.673,1.361,35.67825,-85.777343
32700,"McPherson, KS","McPherson, KS",,30130,13128,898.285,2.318,38.395812,-97.647489
32740,"Meadville, PA","Meadville, PA",240,83189,42188,1012.356,25.247,41.687876,-80.107795
32780,"Medford, OR","Medford, OR",366,222563,97083,2783.255,18.057,42.411621,-122.675611
32820,"Memphis, TN-MS-AR","Memphis, TN",368,1341606,576520,4972.418,128.065,35.010307,-89.820503
32860,"Menomonie, WI","Menomonie, WI",232,45349,18812,850.16,13.734,44.947751,-91.897645
32900,"Merced, CA","Merced, CA",488,285597,89610,1938.02,40.632,37.194806,-120.722802
32940,"Meridian, MS","Meridian, MS",,87408,41193,1395.251,13.437,32.219701,-88.670401
33020,"Mexico, MO","Mexico, MO",190,24688,10566,692.25,4.573,39.214481,-91.843418
33060,"Miami, OK","Miami, OK",309,30360,13695,470.817,13.789,36.835764,-94.802681
33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami, FL",370,6138876,2662397,5067.29,1013.659,26.101828,-80.478755
33140,"Michigan City-La Porte, IN","Michigan City, IN",176,112141,49878,598.288,14.971,41.549013,-86.744739
33180,"Middlesborough, KY","Middlesborough, KY",371,23878,11608,358.999,2.117,36.728928,-83.680718
33220,"Midland, MI","Midland, MI",474,83641,37048,518.434,9.635,43.648203,-84.379414
33260,"Midland, TX","Midland, TX",372,176726,73772,1815.313,2.388,32.092359,-101.994539
33300,"Milledgeville, GA","Milledgeville, GA",,43669,20180,258.699,9.577,33.05949,-83.255457
33340,"Milwaukee-Waukesha, WI","Milwaukee, WI",376,1566361,695586,1454.839,1867.069,42.912643,-87.862312
33380,"Minden, LA","Minden, LA",508,36189,18341,593.319,21.601,32.732152,-93.339825
33420,"Mineral Wells, TX","Mineral Wells, TX",206,28920,15147,952.549,32.959,32.752204,-98.317967
