ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00979,72031,7203112699,7214290,79093,16890,12204,3.889,2.772,18.438359,-65.999169
00982,72031,7203173286,7214290,79093,13876,7458,1.447,0.007,18.408744,-65.991273
00983,72031,7203173286,7214290,79093,31816,16156,4.321,0.385,18.41722,-65.981317
00985,72031,7203109150,7214290,79093,32265,14709,9.235,0.308,18.410774,-65.947927
00987,72031,7203105819,7214290,79093,54109,23583,25.931,0.223,18.343988,-65.943754
01001,25013,2501300840,2500840,83926,16045,6908,11.292,0.821,42.062368,-72.625754
01002,25015,2501501370,2501370,02103,22992,10221,53.256,1.653,42.377212,-72.464795
01003,25015,2501501370,2501370,02103,11989,91,0.804,0.005,42.391883,-72.523584
01005,25027,2502703740,2503705,,4837,1883,43.189,0.257,42.418884,-72.112077
01007,25015,2501504825,2504790,02103,15368,6587,54.869,2.679,42.283935,-72.400409
01008,25013,2501306085,2506050,,1231,621,61.187,2.166,42.192024,-72.964076
01009,25013,2501352144,2552144,,699,359,0.697,0.0,42.211386,-72.341809
01010,25013,2501308470,,,3699,1652,35.227,0.549,42.128176,-72.205352
01011,25013,2501313485,2513450,,1318,658,32.795,0.132,42.290128,-72.966516
01012,25015,2501513590,,,440,246,12.067,0.144,42.375425,-72.858192
01013,25013,2501313660,2513660,83926,22895,10189,5.66,0.584,42.142009,-72.595496
01020,25013,2501313660,2513660,83926,30417,13976,12.461,0.382,42.172611,-72.56192
01022,25013,2501313660,2513660,83926,2144,1094,4.814,0.001,42.197187,-72.541872
01026,25015,2501516040,,,1073,608,28.052,0.204,42.470032,-72.925707
01027,25015,2501576380,2519370,02103,17711,9179,40.587,0.466,42.295008,-72.751877
01028,25013,2501319645,2567000,83926,16273,6277,12.921,0.07,42.062378,-72.498111
01029,25003,2500351580,,,527,949,9.97,1.968,42.176271,-73.035292
01030,25013,2501300840,2500840,83926,12561,5134,12.029,0.191,42.072925,-72.686972
01031,25027,2502728740,,,1697,731,6.733,0.0,42.327809,-72.191968
01032,25015,2501526290,,,484,340,9.649,0.276,42.457613,-72.81478
01033,25015,2501526535,2526500,83926,6096,2784,27.809,0.258,42.244949,-72.500143
01034,25013,2501326675,,,2065,1214,67.747,1.843,42.093912,-72.961103
01035,25015,2501527690,,02103,5295,2366,23.089,1.524,42.356491,-72.568632
01036,25013,2501328075,,83926,4966,2036,19.611,0.03,42.071188,-72.417718
01037,25027,2502728740,,,582,272,18.576,0.168,42.376036,-72.197364
01038,25015,2501529265,2529230,02103,2469,1123,9.223,0.864,42.379925,-72.604045
01039,25015,2501579915,,02103,1728,739,16.491,0.235,42.411304,-72.690951
01040,25013,2501330840,2530840,83926,38210,16743,21.169,1.632,42.211658,-72.642448
01050,25015,2501531785,2531750,,2714,1228,41.369,0.997,42.291259,-72.874803
01053,25015,2501546330,2546330,02103,1885,778,5.751,0.088,42.356301,-72.713584
01054,25011,2501135180,,,1793,813,22.931,0.164,42.468898,-72.484579
01056,25013,2501337175,,83926,20883,9025,27.196,1.142,42.183577,-72.457812
01057,25013,2501342145,2542180,83926,8215,3717,44.543,0.549,42.093596,-72.321494
01060,25015,2501546330,2546330,02103,14724,7752,10.867,1.254,42.321251,-72.630395
01062,25015,2501546330,2546330,02103,9491,4467,17.452,0.161,42.323033,-72.701789
01063,25015,2501546330,2546330,02103,2089,23,0.088,0.0,42.319584,-72.639539
01066,25015,2501529265,,02103,134,69,1.262,0.005,42.413039,-72.623639
01068,25027,2502750670,,,1585,674,21.72,0.399,42.353887,-72.060685
01069,25013,2501352144,2552144,83926,8516,4055,28.058,0.323,42.188862,-72.30648
01070,25015,2501554030,,,571,355,19.84,0.23,42.519909,-72.925354
01071,25013,2501358650,2558615,,1259,618,15.698,0.252,42.160064,-72.87384
01072,25011,2501161905,,,1413,723,19.093,0.252,42.456968,-72.417244
