ZCTA5,Place GEOID,Land Area,Water Area
02171,2555745,6347901,4374006
02176,2540115,12129527,219702
02180,2567700,15482982,1632658
02184,2507740,35646051,2076791
02186,2541725,33681861,780022
02186,2555745,23864,0
02186,2556000,1766804,471430
02188,2578972,10002025,410633
02189,2578972,10385719,1305396
02190,2578972,18119180,1374552
02191,2555745,5812,9
02191,2578972,4638708,2059446
02199,2507000,148321,0
02203,2507000,24997,0
02210,2507000,2389836,1310036
02215,2507000,2176694,334746
02215,2509210,113629,0
02301,2509000,32237119,422574
02302,2509000,23003344,53235
02324,2508130,69780063,2900606
02332,2517860,5718010,1171549
02332,2527130,650268,0
02332,2563690,7602522,3817768
02341,2528460,4752213,665648
02343,2530420,18157031,279916
02346,2540885,10172476,257984
02347,2548220,13067205,337846
02351,2500135,25795965,594786
02351,2509000,10419,0
02359,2548710,11590054,3887
02360,2548780,3227075,5768041
02360,2554275,5797216,4258154
02360,2569585,10565856,97369
02364,2533185,12461477,3806689
02368,2530420,633329,2189
02368,2556000,23514050,1044791
02420,2509875,1141713,7356
02420,2535250,17085652,117401
02421,2535250,24785521,416287
02445,2507000,181468,0
02445,2509210,6581291,139681
02446,2507000,5282,0
02446,2509210,3320983,12178
02451,2572600,13778855,1825045
02452,2572600,9876411,87629
02453,2572600,9303072,721278
02457,2574210,524505,0
02458,2545560,5090903,86768
02459,2545560,13037033,253260
02460,2545560,3490994,23572
02461,2545560,3976047,45954
02462,2545560,1808867,61280
02464,2545560,1425965,29229
02465,2545560,5571348,698
02466,2545560,4111216,208920
02467,2507000,1532495,345376
02467,2509210,7491783,31554
02467,2545560,3681249,99734
02468,2545560,3978271,45929
02472,2505105,1720,0
02472,2511000,73301,720
02472,2545560,1694,0
02472,2572600,5065,0
02472,2573440,10356390,332258
02474,2501640,7921394,473161
02476,2501640,5398605,413740
02478,2505105,12031500,183393
02481,2574210,15772055,732552
02482,2574210,9637341,573876
02492,2544140,24598501,1039595
02492,2574210,20591,11353
02494,2544140,7253072,58389
02532,2507140,4415301,3242609
02532,2510015,4961541,2699351
02532,2542670,4995313,402649
02532,2558965,91358,215703
02534,2547730,59213,0
02534,2554450,243356,65329
02536,2518980,14079135,2214046
02536,2569205,2661359,765239
02537,2503690,3267,0
02537,2520380,17944071,331175
02538,2551160,587930,0
02538,2579390,2998662,370960
02539,2521115,3095349,14533
02540,2523070,5407713,427785
02540,2569205,68021,0
02540,2575960,7779576,2269825
02540,2581245,1076991,508529
02543,2581245,4453736,2921026
02553,2542670,512178,1878048
02554,2537735,5142448,1092363
02554,2543755,15082444,1870445
02556,2547730,10022433,1170408
02556,2575960,199974,0
02557,2550425,4333054,254874
02558,2551160,2036467,559147
02559,2542670,1179180,0
02559,2554450,9332284,3793029
02561,2558965,2147291,0
02562,2558965,6386014,246880
02563,2520380,1522824,0
02563,2524190,1138384,497485
02563,2559700,9403352,471058
02564,2561940,5506151,843909
02568,2550425,356242,0
02568,2571970,3377879,22538
02571,2551160,168303,0
02571,2573020,4187513,1372439
02571,2578410,1139894,21337
02571,2578850,3285815,1074111
02576,2578410,8533662,147645
02601,2503690,22703956,1918828
02601,2578795,6586,0
02630,2503690,12638020,5237761
02631,2507945,10094199,149278
02632,2503690,19323103,3790658
02633,2512960,6830648,2199766
02633,2575505,7574262,1024442
02635,2503690,14214911,2548263
02637,2503690,1999717,77928
02638,2516740,12161044,526597
02638,2518840,2437288,101948
02639,2516810,7135424,657734
02639,2549700,1417,0
02639,2575820,106411,13747
02641,2518840,4295299,193215
02642,2547590,8916741,1194635
02644,2524190,8738929,447047
02645,2519400,20772775,1942565
02645,2529055,5488928,108333
02645,2529090,1251085,95995
02645,2549700,14582644,2539550
02646,2529055,336466,0
02646,2529090,5564579,543697
02646,2549700,1619203,65671
02647,2503690,1117338,381164
02648,2503690,25856964,2665942
02649,2539152,3279392,442618
02649,2541960,599605,0
02649,2545500,6240424,433169
02649,2555070,791665,30035
02649,2555090,186397,802833
02649,2560505,911546,6528
02649,2560627,266476,12635
02653,2551405,6007516,401385
02655,2503690,16759946,4448778
02657,2555535,4629285,1670884
02660,2516740,558556,29677
02660,2516810,713931,0
02660,2518840,5789903,82919
02660,2563655,11785191,516168
02660,2575820,2839339,804101
02664,2566035,14457225,1810414
02668,2503690,37080782,5212967
02670,2575820,5500890,1637444
02671,2516810,19796,0
02671,2549700,4471914,428304
02672,2503690,1279040,52591
02673,2503690,1442,2370372
02673,2566035,3558221,403073
02673,2578795,17318921,6226546
02675,2503690,2239519,30487
02675,2582595,15588785,1193834
02703,2502690,69315047,2572080
02717,2523000,11706919,0
02718,2569170,26647485,852465
02720,2523000,34142904,9022769
02721,2523000,10419556,5244485
02723,2523000,4130257,696297
02724,2523000,4664630,1211542
02725,2562465,6146865,6823497
02726,2562465,14313468,3516583
02738,2538575,2653918,242544
02739,2539485,12667866,165451
02740,2545000,14885718,2118947
02743,2500530,3665479,75869
02743,2545000,2651,0
02744,2545000,3369419,1345734
02745,2545000,24473126,580652
02746,2545000,7378880,300651
02747,2506170,439492,1089
02747,2523000,8460998,2251428
02747,2545000,1687339,83185
02747,2562300,12083877,216747
02748,2506170,4745036,1528
02748,2545000,3529,0
02760,2546598,46512347,1337289
02763,2546598,2323201,20046
02764,2569170,8238,0
02766,2550005,4394996,272665
02767,2556095,10919100,326702
02767,2569170,8522241,14961
02771,2549200,3623639,66288
02777,2550880,1713850,454899
02780,2569170,85795283,3551403
02790,2523000,12262680,949
02790,2549710,13441052,2558518
02804,4403520,6148842,108207
02804,4435200,5571053,9171
02808,4408020,3226800,33541
02812,4412340,3921744,26230
02813,4412340,2452666,27504
02813,4414320,4750625,797517
02813,4460260,3480361,520422
02814,4414860,14251499,306019
02814,4433040,5955896,58445
02815,4415940,1152709,28284
02818,4474300,12565364,6810082
02825,4415940,3312688,21409
02825,4427640,5614385,37467
02827,4431240,15732648,44570
02828,4431600,9209786,584651
02830,4433400,2103497,111893
02830,4454460,916670,742
02831,4419180,3707248,200699
02832,4434660,8494750,426260
02832,4435200,224679,0
02832,4480960,6203,0
02833,4435200,2756271,4014
02840,4449960,18846907,4850829
02840,4450140,3213,0
02841,4449960,892306,1148571
02842,4449960,20514,0
02842,4450140,14898125,526815
02857,4433040,91429,0
02859,4414860,13994,0
02859,4454460,12212676,1274997
02860,4414140,911,0
02860,4422960,546584,275292
02860,4454640,13239700,442693
02860,4459000,37046,0
02861,2502690,42976,0
02861,4454640,9207555,327625
02863,4414140,3091532,208466
02863,4454640,644,0
02864,4420260,8238052,515431
02864,4472500,9189161,322855
02878,4470700,10824751,1423022
02879,4414320,1110907,692062
02879,4438980,1692056,14879
02879,4448700,300807,100078
02879,4473132,12769245,689659
02881,4438980,2339261,2600
02882,4448700,8937019,1251955
02886,4474300,40912730,7070632
02888,4474300,15273235,2003114
02889,4474300,21900514,22317613
02891,4408020,1480043,5974
02891,4446000,3037352,193344
02891,4475200,2076242,37519
02891,4475920,3011187,93017
02891,4476820,41010350,1779827
02895,4480780,20062373,502381
02898,4434660,108169,101349
02898,4480960,2226979,115607
02903,4459000,4346119,1025363
02904,4459000,5210788,91545
02905,4419180,3467007,2959141
02905,4422960,2898,0
02905,4459000,6228224,2297088
02906,4459000,8026940,1776103
02907,4419180,188835,0
02907,4459000,5529057,304758
02908,4459000,8744073,37100
02909,4419180,25102,0
02909,4459000,8072389,60415
02910,4419180,8640541,397955
02910,4459000,251243,49506
02911,4459000,139078,0
02912,4459000,512741,0
02914,4422960,12709014,1146470
02915,4422960,14275572,6071924
02916,4422960,6871960,1109184
02917,4431600,5185992,898912
02919,4459000,170384,2082
02920,4419180,23174901,577681
02921,4419180,33733541,189908
03031,3301220,1881234,0
03036,3317860,61732,0
03038,3317860,41440798,641758
03038,3343140,22512,0
03042,3324580,11138609,91957
03043,3327060,2428187,0
03045,3329780,8202287,612547
03045,3361220,2446102,394546
03048,3331860,8875371,0
03051,3337860,7964119,469805
03053,3343140,31624896,61749
03054,3321780,8735315,892626
03054,3350260,2148,4124
03055,3347940,14715903,69740
03055,3385140,1736657,0
03060,3350260,16987363,847503
03062,3350260,31155226,345484
03063,3350260,21006768,339844
03064,3350260,10708589,793577
03070,3340120,8772149,90154
03070,3350660,1336264,44515
03077,3363940,16778754,415105
03086,3385140,3722319,0
03101,3345140,1982074,301998
03102,3345140,20303371,855106
03102,3361220,1863618,263
03103,3345140,23129939,946694
03104,3345140,21478324,389610
03104,3371220,101261,0
03106,3337220,13982507,1149792
03106,3371220,17356368,20148
03109,3345140,18770164,2327680
03217,3301940,3449870,87985
03220,3304660,3257718,37936
03221,3306900,2056670,41479
03222,3307620,10386841,162266
03224,3314200,74197,0
03227,3310900,1529224,1473
03229,3314340,5958676,265268
03235,3327380,71050024,4496574
03242,3335460,3668584,0
03244,3336020,5040312,0
03246,3340180,51380529,16166553
03251,3341780,6971434,114624
03253,3347060,7552478,3366489
03254,3374780,3038799,12262
03255,3306020,753380,0
03256,3351460,3293205,251722
03257,3352020,2876542,4986
03262,3357220,4184550,92882
03263,3361860,4356065,0
03264,3362580,15215328,192573
03275,3375140,9639672,481003
03276,3377100,8117186,285251
03278,3378500,2071980,0
03301,3314200,127457716,7168226
03303,3314200,38130621,1194157
03307,3343300,4681574,0
03431,3339300,96068853,670813
03440,3301620,11772349,20097
03442,3304820,1115741,0
03446,3383700,6682502,47319
03449,3333620,922366,165291
03451,3336580,6015272,199130
03452,3338420,8816319,309160
03455,3345380,4369041,0
03458,3360500,12347526,63713
03465,3377300,3304117,0
03470,3385460,7712583,21524
03561,3342500,21891762,237810
03570,3305140,158893882,2207705
03574,3305380,4232650,9255
03576,3313700,6779386,194046
03581,3330180,4359817,220274
03582,3332260,5334986,231466
03584,3340340,7706853,498582
03585,3341940,8627598,203827
03597,3383620,1603318,127549
03598,3384340,4127935,0
03603,3311300,2467788,121062
03608,3378340,3152287,27471
03609,3356420,1797832,9081
03740,3349600,2021266,30701
03741,3308900,1772211,0
03743,3312900,111766136,2323426
03748,3324260,6676856,144293
03755,3333780,11711868,994825
03766,3341300,82827709,657355
03773,3352500,36538640,0
03774,3349600,163546,0
03774,3354740,9291222,1100826
03781,3362260,1496483,0
03784,3341300,21561648,1850633
03785,3349600,6933855,261399
03785,3387140,4791073,70910
03801,3362900,40560703,3013416
03809,3300980,1179293,76143
03810,3300980,32454,11824
03812,3303620,3854459,61330
03813,3314580,3291462,1024
03813,3353860,276625,0
03814,3310820,2581813,0
03818,3314580,11434075,660931
03820,3318820,69151944,5996113
