"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"0500000US18151","Steuben County, Indiana","34379","null","*****","*****",
"0500000US18153","Sullivan County, Indiana","20814","null","*****","*****",
"0500000US18155","Switzerland County, Indiana","9870","null","*****","*****",
"0500000US18157","Tippecanoe County, Indiana","185961","null","*****","*****",
"0500000US18159","Tipton County, Indiana","15290","null","*****","*****",
"0500000US18161","Union County, Indiana","7098","null","*****","*****",
"0500000US18163","Vanderburgh County, Indiana","179695","null","*****","*****",
"0500000US18165","Vermillion County, Indiana","15477","null","*****","*****",
"0500000US18167","Vigo County, Indiana","106523","null","*****","*****",
"0500000US18169","Wabash County, Indiana","31120","null","*****","*****",
"0500000US18171","Warren County, Indiana","8430","null","*****","*****",
"0500000US18173","Warrick County, Indiana","63575","null","*****","*****",
"0500000US18175","Washington County, Indiana","28025","null","*****","*****",
"0500000US18177","Wayne County, Indiana","66588","null","*****","*****",
"0500000US18179","Wells County, Indiana","28103","null","*****","*****",
"0500000US18181","White County, Indiana","24593","null","*****","*****",
"0500000US18183","Whitley County, Indiana","34048","null","*****","*****",
"0500000US19001","Adair County, Iowa","7439","null","*****","*****",
"0500000US19003","Adams County, Iowa","3697","null","*****","*****",
"0500000US19005","Allamakee County, Iowa","14068","null","*****","*****",
"0500000US19007","Appanoose County, Iowa","12310","null","*****","*****",
"0500000US19009","Audubon County, Iowa","5657","null","*****","*****",
"0500000US19011","Benton County, Iowa","25654","null","*****","*****",
"0500000US19013","Black Hawk County, Iowa","131396","null","*****","*****",
"0500000US19015","Boone County, Iowa","26721","null","*****","*****",
"0500000US19017","Bremer County, Iowa","24863","null","*****","*****",
"0500000US19019","Buchanan County, Iowa","20598","null","*****","*****",
"0500000US19021","Buena Vista County, Iowa","20723","null","*****","*****",
"0500000US19023","Butler County, Iowa","14421","null","*****","*****",
"0500000US19025","Calhoun County, Iowa","9962","null","*****","*****",
"0500000US19027","Carroll County, Iowa","20756","null","*****","*****",
"0500000US19029","Cass County, Iowa","13158","null","*****","*****",
"0500000US19031","Cedar County, Iowa","18494","null","*****","*****",
"0500000US19033","Cerro Gordo County, Iowa","43185","null","*****","*****",
"0500000US19035","Cherokee County, Iowa","11606","null","*****","*****",
"0500000US19037","Chickasaw County, Iowa","12021","null","*****","*****",
"0500000US19039","Clarke County, Iowa","9736","null","*****","*****",
"0500000US19041","Clay County, Iowa","16410","null","*****","*****",
"0500000US19043","Clayton County, Iowa","17173","null","*****","*****",
"0500000US19045","Clinton County, Iowa","46589","null","*****","*****",
"0500000US19047","Crawford County, Iowa","16555","null","*****","*****",
"0500000US19049","Dallas County, Iowa","96604","null","*****","*****",
"0500000US19051","Davis County, Iowa","9066","null","*****","*****",
"0500000US19053","Decatur County, Iowa","7718","null","*****","*****",
"0500000US19055","Delaware County, Iowa","17508","null","*****","*****",
"0500000US19057","Des Moines County, Iowa","39069","null","*****","*****",
"0500000US19059","Dickinson County, Iowa","17536","null","*****","*****",
"0500000US19061","Dubuque County, Iowa","98687","null","*****","*****",
"0500000US19063","Emmet County, Iowa","9433","null","*****","*****",
"0500000US19065","Fayette County, Iowa","19582","null","*****","*****",
"0500000US19067","Floyd County, Iowa","15672","null","*****","*****",
"0500000US19069","Franklin County, Iowa","10056","null","*****","*****",
"0500000US19071","Fremont County, Iowa","6702","null","*****","*****",
"0500000US19073","Greene County, Iowa","8831","null","*****","*****",
"0500000US19075","Grundy County, Iowa","12336","null","*****","*****",
"0500000US19077","Guthrie County, Iowa","10599","null","*****","*****",
"0500000US19079","Hamilton County, Iowa","15073","null","*****","*****",
"0500000US19081","Hancock County, Iowa","10837","null","*****","*****",
"0500000US19083","Hardin County, Iowa","16997","null","*****","*****",
"0500000US19085","Harrison County, Iowa","14589","null","*****","*****",
"0500000US19087","Henry County, Iowa","20488","null","*****","*****",
"0500000US19089","Howard County, Iowa","9456","null","*****","*****",
"0500000US19091","Humboldt County, Iowa","9622","null","*****","*****",
"0500000US19093","Ida County, Iowa","6979","null","*****","*****",
"0500000US19095","Iowa County, Iowa","16596","null","*****","*****",
"0500000US19097","Jackson County, Iowa","19499","null","*****","*****",
"0500000US19099","Jasper County, Iowa","37686","null","*****","*****",
"0500000US19101","Jefferson County, Iowa","15846","null","*****","*****",
"0500000US19103","Johnson County, Iowa","151833","null","*****","*****",
"0500000US19105","Jones County, Iowa","20680","null","*****","*****",
"0500000US19107","Keokuk County, Iowa","10050","null","*****","*****",
"0500000US19109","Kossuth County, Iowa","14823","null","*****","*****",
"0500000US19111","Lee County, Iowa","33724","null","*****","*****",
"0500000US19113","Linn County, Iowa","228567","null","*****","*****",
"0500000US19115","Louisa County, Iowa","10891","null","*****","*****",
"0500000US19117","Lucas County, Iowa","8650","null","*****","*****",
"0500000US19119","Lyon County, Iowa","11953","null","*****","*****",
"0500000US19121","Madison County, Iowa","16414","null","*****","*****",
"0500000US19123","Mahaska County, Iowa","22132","null","*****","*****",
"0500000US19125","Marion County, Iowa","33381","null","*****","*****",
"0500000US19127","Marshall County, Iowa","40137","null","*****","*****",
"0500000US19129","Mills County, Iowa","14658","null","*****","*****",
"0500000US19131","Mitchell County, Iowa","10526","null","*****","*****",
"0500000US19133","Monona County, Iowa","8732","null","*****","*****",
"0500000US19135","Monroe County, Iowa","7589","null","*****","*****",
"0500000US19137","Montgomery County, Iowa","10327","null","*****","*****",
"0500000US19139","Muscatine County, Iowa","43145","null","*****","*****",
"0500000US19141","O'Brien County, Iowa","14139","null","*****","*****",
"0500000US19143","Osceola County, Iowa","6168","null","*****","*****",
"0500000US19145","Page County, Iowa","15250","null","*****","*****",
"0500000US19147","Palo Alto County, Iowa","8996","null","*****","*****",
"0500000US19149","Plymouth County, Iowa","25543","null","*****","*****",
"0500000US19151","Pocahontas County, Iowa","7091","null","*****","*****",
"0500000US19153","Polk County, Iowa","488871","null","*****","*****",
"0500000US19155","Pottawattamie County, Iowa","93571","null","*****","*****",
"0500000US19157","Poweshiek County, Iowa","18628","null","*****","*****",
"0500000US19159","Ringgold County, Iowa","4739","null","*****","*****",
"0500000US19161","Sac County, Iowa","9829","null","*****","*****",
"0500000US19163","Scott County, Iowa","174170","null","*****","*****",
"0500000US19165","Shelby County, Iowa","11750","null","*****","*****",
"0500000US19167","Sioux County, Iowa","35647","null","*****","*****",
"0500000US19169","Story County, Iowa","98106","null","*****","*****",
"0500000US19171","Tama County, Iowa","17079","null","*****","*****",
"0500000US19173","Taylor County, Iowa","5932","null","*****","*****",
"0500000US19175","Union County, Iowa","12193","null","*****","*****",
"0500000US19177","Van Buren County, Iowa","7196","null","*****","*****",
"0500000US19179","Wapello County, Iowa","35343","null","*****","*****",
"0500000US19181","Warren County, Iowa","51862","null","*****","*****",
"0500000US19183","Washington County, Iowa","22525","null","*****","*****",
"0500000US19185","Wayne County, Iowa","6504","null","*****","*****",
"0500000US19187","Webster County, Iowa","37114","null","*****","*****",
"0500000US19189","Winnebago County, Iowa","10743","null","*****","*****",
"0500000US19191","Winneshiek County, Iowa","20100","null","*****","*****",
"0500000US19193","Woodbury County, Iowa","105102","null","*****","*****",
"0500000US19195","Worth County, Iowa","7450","null","*****","*****",
"0500000US19197","Wright County, Iowa","12978","null","*****","*****",
"0500000US20001","Allen County, Kansas","12557","null","*****","*****",
"0500000US20003","Anderson County, Kansas","7800","null","*****","*****",
"0500000US20005","Atchison County, Kansas","16382","null","*****","*****",
"0500000US20007","Barber County, Kansas","4178","null","192","null",
"0500000US20009","Barton County, Kansas","25708","null","*****","*****",
"0500000US20011","Bourbon County, Kansas","14410","null","*****","*****",
"0500000US20013","Brown County, Kansas","9532","null","*****","*****",
"0500000US20015","Butler County, Kansas","67404","null","*****","*****",
"0500000US20017","Chase County, Kansas","2583","null","*****","*****",
"0500000US20019","Chautauqua County, Kansas","3394","null","*****","*****",
"0500000US20021","Cherokee County, Kansas","19507","null","*****","*****",
"0500000US20023","Cheyenne County, Kansas","2647","null","*****","*****",
"0500000US20025","Clark County, Kansas","1994","null","*****","*****",
"0500000US20027","Clay County, Kansas","8085","null","*****","*****",
"0500000US20029","Cloud County, Kansas","9037","null","*****","*****",
"0500000US20031","Coffey County, Kansas","8361","null","*****","*****",
"0500000US20033","Comanche County, Kansas","1809","null","192","null",
"0500000US20035","Cowley County, Kansas","34769","null","*****","*****",
"0500000US20037","Crawford County, Kansas","39018","null","*****","*****",
"0500000US20039","Decatur County, Kansas","2792","null","*****","*****",
"0500000US20041","Dickinson County, Kansas","18572","null","*****","*****",
"0500000US20043","Doniphan County, Kansas","7549","null","*****","*****",
"0500000US20045","Douglas County, Kansas","118690","null","*****","*****",
"0500000US20047","Edwards County, Kansas","2911","null","*****","*****",
"0500000US20049","Elk County, Kansas","2466","null","*****","*****",
"0500000US20051","Ellis County, Kansas","28893","null","*****","*****",
"0500000US20053","Ellsworth County, Kansas","6403","null","*****","*****",
"0500000US20055","Finney County, Kansas","38338","null","*****","*****",
"0500000US20057","Ford County, Kansas","34426","null","*****","*****",
"0500000US20059","Franklin County, Kansas","25953","null","*****","*****",
"0500000US20061","Geary County, Kansas","36514","null","*****","*****",
"0500000US20063","Gove County, Kansas","2774","null","172","null",
"0500000US20065","Graham County, Kansas","2444","null","*****","*****",
"0500000US20067","Grant County, Kansas","7430","null","*****","*****",
"0500000US20069","Gray County, Kansas","5720","null","*****","*****",
"0500000US20071","Greeley County, Kansas","1257","null","133","null",
"0500000US20073","Greenwood County, Kansas","6049","null","*****","*****",
"0500000US20075","Hamilton County, Kansas","2572","null","*****","*****",
"0500000US20077","Harper County, Kansas","5525","null","*****","*****",
"0500000US20079","Harvey County, Kansas","34006","null","*****","*****",
"0500000US20081","Haskell County, Kansas","3803","null","*****","*****",
"0500000US20083","Hodgeman County, Kansas","1851","null","140","null",
"0500000US20085","Jackson County, Kansas","13287","null","*****","*****",
"0500000US20087","Jefferson County, Kansas","18391","null","*****","*****",
"0500000US20089","Jewell County, Kansas","2927","null","*****","*****",
"0500000US20091","Johnson County, Kansas","605154","null","*****","*****",
"0500000US20093","Kearny County, Kansas","4019","null","*****","*****",
"0500000US20095","Kingman County, Kansas","7495","null","*****","*****",
"0500000US20097","Kiowa County, Kansas","2457","null","*****","*****",
"0500000US20099","Labette County, Kansas","20222","null","*****","*****",
"0500000US20101","Lane County, Kansas","1504","null","172","null",
"0500000US20103","Leavenworth County, Kansas","81601","null","*****","*****",
"0500000US20105","Lincoln County, Kansas","2952","null","*****","*****",
"0500000US20107","Linn County, Kansas","9667","null","*****","*****",
"0500000US20109","Logan County, Kansas","2777","null","*****","*****",
"0500000US20111","Lyon County, Kansas","32318","null","*****","*****",
"0500000US20113","McPherson County, Kansas","30059","null","*****","*****",
"0500000US20115","Marion County, Kansas","11877","null","*****","*****",
"0500000US20117","Marshall County, Kansas","9995","null","*****","*****",
"0500000US20119","Meade County, Kansas","4089","null","*****","*****",
"0500000US20121","Miami County, Kansas","33968","null","*****","*****",
"0500000US20123","Mitchell County, Kansas","5884","null","*****","*****",
"0500000US20125","Montgomery County, Kansas","31679","null","*****","*****",
"0500000US20127","Morris County, Kansas","5377","null","*****","*****",
"0500000US20129","Morton County, Kansas","2744","null","*****","*****",
"0500000US20131","Nemaha County, Kansas","10197","null","*****","*****",
"0500000US20133","Neosho County, Kansas","15926","null","*****","*****",
"0500000US20135","Ness County, Kansas","2717","null","*****","*****",
"0500000US20137","Norton County, Kansas","5457","null","*****","*****",
"0500000US20139","Osage County, Kansas","15811","null","*****","*****",
"0500000US20141","Osborne County, Kansas","3512","null","*****","*****",
"0500000US20143","Ottawa County, Kansas","5778","null","*****","*****",
"0500000US20145","Pawnee County, Kansas","6356","null","*****","*****",
"0500000US20147","Phillips County, Kansas","5022","null","*****","*****",
"0500000US20149","Pottawatomie County, Kansas","25082","null","*****","*****",
"0500000US20151","Pratt County, Kansas","9266","null","*****","*****",
"0500000US20153","Rawlins County, Kansas","2531","null","*****","*****",
"0500000US20155","Reno County, Kansas","62071","null","*****","*****",
"0500000US20157","Republic County, Kansas","4707","null","*****","*****",
"0500000US20159","Rice County, Kansas","9464","null","*****","*****",
"0500000US20161","Riley County, Kansas","72602","null","*****","*****",
"0500000US20163","Rooks County, Kansas","4975","null","*****","*****",
"0500000US20165","Rush County, Kansas","2883","null","140","null",
"0500000US20167","Russell County, Kansas","6747","null","*****","*****",
"0500000US20169","Saline County, Kansas","54378","null","*****","*****",
"0500000US20171","Scott County, Kansas","5163","null","*****","*****",
"0500000US20173","Sedgwick County, Kansas","520467","null","*****","*****",
"0500000US20175","Seward County, Kansas","22223","null","*****","*****",
"0500000US20177","Shawnee County, Kansas","179053","null","*****","*****",
"0500000US20179","Sheridan County, Kansas","2459","null","*****","*****",
"0500000US20181","Sherman County, Kansas","5965","null","*****","*****",
"0500000US20183","Smith County, Kansas","3588","null","*****","*****",
"0500000US20185","Stafford County, Kansas","4106","null","*****","*****",
"0500000US20187","Stanton County, Kansas","2088","null","*****","*****",
"0500000US20189","Stevens County, Kansas","5320","null","*****","*****",
"0500000US20191","Sumner County, Kansas","22603","null","*****","*****",
"0500000US20193","Thomas County, Kansas","7902","null","*****","*****",
"0500000US20195","Trego County, Kansas","2825","null","*****","*****",
"0500000US20197","Wabaunsee County, Kansas","6881","null","*****","*****",
"0500000US20199","Wallace County, Kansas","1529","null","133","null",
"0500000US20201","Washington County, Kansas","5531","null","*****","*****",
"0500000US20203","Wichita County, Kansas","2150","null","*****","*****",
"0500000US20205","Wilson County, Kansas","8713","null","*****","*****",
"0500000US20207","Woodson County, Kansas","3162","null","*****","*****",
"0500000US20209","Wyandotte County, Kansas","168333","null","*****","*****",
"0500000US21001","Adair County, Kentucky","18832","null","*****","*****",
"0500000US21003","Allen County, Kentucky","20604","null","*****","*****",
"0500000US21005","Anderson County, Kentucky","23646","null","*****","*****",
"0500000US21007","Ballard County, Kentucky","7814","null","*****","*****",
"0500000US21009","Barren County, Kentucky","44277","null","*****","*****",
"0500000US21011","Bath County, Kentucky","12680","null","*****","*****",
"0500000US21013","Bell County, Kentucky","24674","null","*****","*****",
"0500000US21015","Boone County, Kentucky","134599","null","*****","*****",
"0500000US21017","Bourbon County, Kentucky","20281","null","*****","*****",
"0500000US21019","Boyd County, Kentucky","48447","null","*****","*****",
"0500000US21021","Boyle County, Kentucky","30469","null","*****","*****",
"0500000US21023","Bracken County, Kentucky","8394","null","*****","*****",
"0500000US21025","Breathitt County, Kentucky","13652","null","*****","*****",
"0500000US21027","Breckinridge County, Kentucky","20345","null","*****","*****",
"0500000US21029","Bullitt County, Kentucky","81729","null","*****","*****",
"0500000US21031","Butler County, Kentucky","12413","null","*****","*****",
"0500000US21033","Caldwell County, Kentucky","12641","null","*****","*****",
"0500000US21035","Calloway County, Kentucky","37291","null","*****","*****",
"0500000US21037","Campbell County, Kentucky","93023","null","*****","*****",
"0500000US21039","Carlisle County, Kentucky","4821","null","*****","*****",
"0500000US21041","Carroll County, Kentucky","10808","null","*****","*****",
"0500000US21043","Carter County, Kentucky","26820","null","*****","*****",
"0500000US21045","Casey County, Kentucky","15863","null","*****","*****",
"0500000US21047","Christian County, Kentucky","72377","null","*****","*****",
"0500000US21049","Clark County, Kentucky","36716","null","*****","*****",
"0500000US21051","Clay County, Kentucky","20484","null","*****","*****",
"0500000US21053","Clinton County, Kentucky","9372","null","*****","*****",
"0500000US21055","Crittenden County, Kentucky","8997","null","*****","*****",
"0500000US21057","Cumberland County, Kentucky","6023","null","*****","*****",
"0500000US21059","Daviess County, Kentucky","102488","null","*****","*****",
"0500000US21061","Edmonson County, Kentucky","12165","null","*****","*****",
"0500000US21063","Elliott County, Kentucky","7414","null","*****","*****",
"0500000US21065","Estill County, Kentucky","14157","null","*****","*****",
"0500000US21067","Fayette County, Kentucky","321354","null","*****","*****",
"0500000US21069","Fleming County, Kentucky","14996","null","*****","*****",
"0500000US21071","Floyd County, Kentucky","36127","null","*****","*****",
"0500000US21073","Franklin County, Kentucky","51319","null","*****","*****",
"0500000US21075","Fulton County, Kentucky","6507","null","*****","*****",
"0500000US21077","Gallatin County, Kentucky","8694","null","*****","*****",
"0500000US21079","Garrard County, Kentucky","17018","null","*****","*****",
"0500000US21081","Grant County, Kentucky","24918","null","*****","*****",
"0500000US21083","Graves County, Kentucky","36796","null","*****","*****",
"0500000US21085","Grayson County, Kentucky","26351","null","*****","*****",
"0500000US21087","Green County, Kentucky","11141","null","*****","*****",
"0500000US21089","Greenup County, Kentucky","35996","null","*****","*****",
"0500000US21091","Hancock County, Kentucky","9050","null","*****","*****",
"0500000US21093","Hardin County, Kentucky","110134","null","*****","*****",
"0500000US21095","Harlan County, Kentucky","26921","null","*****","*****",
"0500000US21097","Harrison County, Kentucky","18690","null","*****","*****",
"0500000US21099","Hart County, Kentucky","19194","null","*****","*****",
"0500000US21101","Henderson County, Kentucky","45102","null","*****","*****",
"0500000US21103","Henry County, Kentucky","15691","null","*****","*****",
"0500000US21105","Hickman County, Kentucky","4529","null","*****","*****",
"0500000US21107","Hopkins County, Kentucky","45432","null","*****","*****",
"0500000US21109","Jackson County, Kentucky","13029","null","*****","*****",
"0500000US21111","Jefferson County, Kentucky","780449","null","*****","*****",
"0500000US21113","Jessamine County, Kentucky","53016","null","*****","*****",
"0500000US21115","Johnson County, Kentucky","22794","null","*****","*****",
"0500000US21117","Kenton County, Kentucky","168264","null","*****","*****",
"0500000US21119","Knott County, Kentucky","14506","null","*****","*****",
"0500000US21121","Knox County, Kentucky","30367","null","*****","*****",
"0500000US21123","Larue County, Kentucky","14768","null","*****","*****",
"0500000US21125","Laurel County, Kentucky","62090","null","*****","*****",
"0500000US21127","Lawrence County, Kentucky","16274","null","*****","*****",
"0500000US21129","Lee County, Kentucky","7263","null","*****","*****",
"0500000US21131","Leslie County, Kentucky","10622","null","*****","*****",
"0500000US21133","Letcher County, Kentucky","21784","null","*****","*****",
"0500000US21135","Lewis County, Kentucky","13103","null","*****","*****",
"0500000US21137","Lincoln County, Kentucky","24314","null","*****","*****",
"0500000US21139","Livingston County, Kentucky","8989","null","*****","*****",
"0500000US21141","Logan County, Kentucky","27319","null","*****","*****",
"0500000US21143","Lyon County, Kentucky","8700","null","*****","*****",
"0500000US21145","McCracken County, Kentucky","67394","null","*****","*****",
"0500000US21147","McCreary County, Kentucky","17044","null","*****","*****",
"0500000US21149","McLean County, Kentucky","9182","null","*****","*****",
"0500000US21151","Madison County, Kentucky","92194","null","*****","*****",
"0500000US21153","Magoffin County, Kentucky","11818","null","*****","*****",
"0500000US21155","Marion County, Kentucky","19556","null","*****","*****",
"0500000US21157","Marshall County, Kentucky","31662","null","*****","*****",
"0500000US21159","Martin County, Kentucky","11394","null","*****","*****",
"0500000US21161","Mason County, Kentucky","17103","null","*****","*****",
"0500000US21163","Meade County, Kentucky","29735","null","*****","*****",
"0500000US21165","Menifee County, Kentucky","6149","null","*****","*****",
"0500000US21167","Mercer County, Kentucky","22470","null","*****","*****",
"0500000US21169","Metcalfe County, Kentucky","10275","null","*****","*****",
"0500000US21171","Monroe County, Kentucky","11269","null","*****","*****",
"0500000US21173","Montgomery County, Kentucky","28084","null","*****","*****",
"0500000US21175","Morgan County, Kentucky","13772","null","*****","*****",
"0500000US21177","Muhlenberg County, Kentucky","31011","null","*****","*****",
"0500000US21179","Nelson County, Kentucky","46440","null","*****","*****",
"0500000US21181","Nicholas County, Kentucky","7517","null","*****","*****",
"0500000US21183","Ohio County, Kentucky","23861","null","*****","*****",
"0500000US21185","Oldham County, Kentucky","67586","null","*****","*****",
"0500000US21187","Owen County, Kentucky","11160","null","*****","*****",
"0500000US21189","Owsley County, Kentucky","4094","null","*****","*****",
"0500000US21191","Pendleton County, Kentucky","14625","null","*****","*****",
"0500000US21193","Perry County, Kentucky","28421","null","*****","*****",
"0500000US21195","Pike County, Kentucky","58914","null","*****","*****",
"0500000US21197","Powell County, Kentucky","13050","null","*****","*****",
"0500000US21199","Pulaski County, Kentucky","64717","null","*****","*****",
"0500000US21201","Robertson County, Kentucky","2196","null","*****","*****",
"0500000US21203","Rockcastle County, Kentucky","16167","null","*****","*****",
"0500000US21205","Rowan County, Kentucky","24654","null","*****","*****",
"0500000US21207","Russell County, Kentucky","17909","null","*****","*****",
"0500000US21209","Scott County, Kentucky","56267","null","*****","*****",
"0500000US21211","Shelby County, Kentucky","47523","null","*****","*****",
"0500000US21213","Simpson County, Kentucky","19324","null","*****","*****",
"0500000US21215","Spencer County, Kentucky","19256","null","*****","*****",
"0500000US21217","Taylor County, Kentucky","25948","null","*****","*****",
"0500000US21219","Todd County, Kentucky","12206","null","*****","*****",
"0500000US21221","Trigg County, Kentucky","14067","null","*****","*****",
"0500000US21223","Trimble County, Kentucky","8502","null","*****","*****",
"0500000US21225","Union County, Kentucky","13786","null","*****","*****",
"0500000US21227","Warren County, Kentucky","133216","null","*****","*****",
"0500000US21229","Washington County, Kentucky","11957","null","*****","*****",
"0500000US21231","Wayne County, Kentucky","19743","null","*****","*****",
"0500000US21233","Webster County, Kentucky","12994","null","*****","*****",
"0500000US21235","Whitley County, Kentucky","36578","null","*****","*****",
"0500000US21237","Wolfe County, Kentucky","6666","null","*****","*****",
"0500000US21239","Woodford County, Kentucky","26758","null","*****","*****",
"0500000US22001","Acadia Parish, Louisiana","58200","null","*****","*****",
"0500000US22003","Allen Parish, Louisiana","23085","null","*****","*****",
"0500000US22005","Ascension Parish, Louisiana","125289","null","*****","*****",
"0500000US22007","Assumption Parish, Louisiana","21366","null","*****","*****",
"0500000US22009","Avoyelles Parish, Louisiana","39880","null","*****","*****",
"0500000US22011","Beauregard Parish, Louisiana","36417","null","*****","*****",
"0500000US22013","Bienville Parish, Louisiana","13130","null","*****","*****",
"0500000US22015","Bossier Parish, Louisiana","128508","null","*****","*****",
"0500000US22017","Caddo Parish, Louisiana","239775","null","*****","*****",
"0500000US22019","Calcasieu Parish, Louisiana","212646","null","*****","*****",
"0500000US22021","Caldwell Parish, Louisiana","9707","null","*****","*****",
"0500000US22023","Cameron Parish, Louisiana","5650","null","*****","*****",
"0500000US22025","Catahoula Parish, Louisiana","9117","null","*****","*****",
"0500000US22027","Claiborne Parish, Louisiana","14456","null","*****","*****",
"0500000US22029","Concordia Parish, Louisiana","18989","null","*****","*****",
"0500000US22031","De Soto Parish, Louisiana","26803","null","*****","*****",
"0500000US22033","East Baton Rouge Parish, Louisiana","455447","null","*****","*****",
"0500000US22035","East Carroll Parish, Louisiana","7502","null","*****","*****",
"0500000US22037","East Feliciana Parish, Louisiana","19588","null","*****","*****",
"0500000US22039","Evangeline Parish, Louisiana","32538","null","*****","*****",
"0500000US22041","Franklin Parish, Louisiana","19964","null","*****","*****",
"0500000US22043","Grant Parish, Louisiana","22236","null","*****","*****",
"0500000US22045","Iberia Parish, Louisiana","70518","null","*****","*****",
"0500000US22047","Iberville Parish, Louisiana","30651","null","*****","*****",
"0500000US22049","Jackson Parish, Louisiana","15214","null","*****","*****",
"0500000US22051","Jefferson Parish, Louisiana","439402","null","*****","*****",
"0500000US22053","Jefferson Davis Parish, Louisiana","32270","null","*****","*****",
"0500000US22055","Lafayette Parish, Louisiana","241173","null","*****","*****",
"0500000US22057","Lafourche Parish, Louisiana","97677","null","*****","*****",
"0500000US22059","LaSalle Parish, Louisiana","14770","null","*****","*****",
"0500000US22061","Lincoln Parish, Louisiana","48415","null","*****","*****",
"0500000US22063","Livingston Parish, Louisiana","141057","null","*****","*****",
"0500000US22065","Madison Parish, Louisiana","10297","null","*****","*****",
"0500000US22067","Morehouse Parish, Louisiana","25852","null","*****","*****",
"0500000US22069","Natchitoches Parish, Louisiana","37896","null","*****","*****",
"0500000US22071","Orleans Parish, Louisiana","383974","null","*****","*****",
"0500000US22073","Ouachita Parish, Louisiana","160227","null","*****","*****",
"0500000US22075","Plaquemines Parish, Louisiana","23536","null","*****","*****",
"0500000US22077","Pointe Coupee Parish, Louisiana","20951","null","*****","*****",
"0500000US22079","Rapides Parish, Louisiana","130459","null","*****","*****",
"0500000US22081","Red River Parish, Louisiana","7787","null","*****","*****",
"0500000US22083","Richland Parish, Louisiana","20110","null","*****","*****",
"0500000US22085","Sabine Parish, Louisiana","22377","null","*****","*****",
"0500000US22087","St. Bernard Parish, Louisiana","43821","null","*****","*****",
"0500000US22089","St. Charles Parish, Louisiana","52411","null","*****","*****",
"0500000US22091","St. Helena Parish, Louisiana","10881","null","*****","*****",
"0500000US22093","St. James Parish, Louisiana","20390","null","*****","*****",
"0500000US22095","St. John the Baptist Parish, Louisiana","42704","null","*****","*****",
"0500000US22097","St. Landry Parish, Louisiana","82999","null","*****","*****",
"0500000US22099","St. Martin Parish, Louisiana","52222","null","*****","*****",
"0500000US22101","St. Mary Parish, Louisiana","49818","null","*****","*****",
"0500000US22103","St. Tammany Parish, Louisiana","262799","null","*****","*****",
"0500000US22105","Tangipahoa Parish, Louisiana","132492","null","*****","*****",
"0500000US22107","Tensas Parish, Louisiana","4269","null","*****","*****",
"0500000US22109","Terrebonne Parish, Louisiana","110100","null","*****","*****",
"0500000US22111","Union Parish, Louisiana","21272","null","*****","*****",
"0500000US22113","Vermilion Parish, Louisiana","57775","null","*****","*****",
"0500000US22115","Vernon Parish, Louisiana","49064","null","*****","*****",
"0500000US22117","Washington Parish, Louisiana","45794","null","*****","*****",
"0500000US22119","Webster Parish, Louisiana","37356","null","*****","*****",
"0500000US22121","West Baton Rouge Parish, Louisiana","27064","null","*****","*****",
"0500000US22123","West Carroll Parish, Louisiana","9959","null","*****","*****",
"0500000US22125","West Feliciana Parish, Louisiana","15334","null","*****","*****",
"0500000US22127","Winn Parish, Louisiana","13875","null","*****","*****",
"0500000US23001","Androscoggin County, Maine","110378","null","*****","*****",
"0500000US23003","Aroostook County, Maine","67272","null","*****","*****",
"0500000US23005","Cumberland County, Maine","300776","null","*****","*****",
"0500000US23007","Franklin County, Maine","29487","null","*****","*****",
"0500000US23009","Hancock County, Maine","55417","null","*****","*****",
"0500000US23011","Kennebec County, Maine","123293","null","*****","*****",
"0500000US23013","Knox County, Maine","40519","null","*****","*****",
"0500000US23015","Lincoln County, Maine","35065","null","*****","*****",
"0500000US23017","Oxford County, Maine","57807","null","*****","*****",
"0500000US23019","Penobscot County, Maine","152211","null","*****","*****",
"0500000US23021","Piscataquis County, Maine","16760","null","*****","*****",
"0500000US23023","Sagadahoc County, Maine","36530","null","*****","*****",
"0500000US23025","Somerset County, Maine","50424","null","*****","*****",
"0500000US23027","Waldo County, Maine","39618","null","*****","*****",
"0500000US23029","Washington County, Maine","31003","null","*****","*****",
"0500000US23031","York County, Maine","210486","null","*****","*****",
"0500000US24001","Allegany County, Maryland","68684","null","*****","*****",
"0500000US24003","Anne Arundel County, Maryland","584064","null","*****","*****",
"0500000US24005","Baltimore County, Maryland","850702","null","*****","*****",
"0500000US24009","Calvert County, Maryland","92515","null","*****","*****",
"0500000US24011","Caroline County, Maryland","33234","null","*****","*****",
"0500000US24013","Carroll County, Maryland","172148","null","*****","*****",
"0500000US24015","Cecil County, Maryland","103370","null","*****","*****",
"0500000US24017","Charles County, Maryland","165209","null","*****","*****",
"0500000US24019","Dorchester County, Maryland","32486","null","*****","*****",
"0500000US24021","Frederick County, Maryland","267498","null","*****","*****",
"0500000US24023","Garrett County, Maryland","28955","null","*****","*****",
"0500000US24025","Harford County, Maryland","259162","null","*****","*****",
"0500000US24027","Howard County, Maryland","329248","null","*****","*****",
"0500000US24029","Kent County, Maryland","19335","null","*****","*****",
"0500000US24031","Montgomery County, Maryland","1057201","null","*****","*****",
"0500000US24033","Prince George's County, Maryland","957767","null","*****","*****",
"0500000US24035","Queen Anne's County, Maryland","49702","null","*****","*****",
