GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
07786|400C200US07786|Birmingham, AL Urban Area|1318925255|9203479|509.24|3.553|33.475252|-86.784185
07813|400C200US07813|Bisbee, AZ Urban Area|8165837|0|3.153|0.|31.403482|-109.92094
07840|400C200US07840|Bishop, CA Urban Area|14219124|17292|5.49|0.007|37.365976|-118.415939
07921|400C200US07921|Bismarck, ND Urban Area|108418048|1047286|41.86|0.404|46.819848|-100.801005
07948|400C200US07948|Blackfoot, ID Urban Area|19453249|459187|7.511|0.177|43.198466|-112.359362
07975|400C200US07975|Black River Falls, WI Urban Area|9592875|8248|3.704|0.003|44.296885|-90.849189
08002|400C200US08002|Blacksburg--Christiansburg, VA Urban Area|88008718|131822|33.98|0.051|37.185325|-80.41322
08083|400C200US08083|Blackwell, OK Urban Area|9973451|0|3.851|0.|36.800234|-97.291627
08137|400C200US08137|Blair, NE Urban Area|21189911|0|8.181|0.|41.536927|-96.122542
08164|400C200US08164|Blairsville, PA Urban Area|13521907|4980|5.221|0.002|40.443953|-79.264054
08353|400C200US08353|Bloomfield, NM Urban Area|16180989|87446|6.248|0.034|36.715582|-107.975039
08380|400C200US08380|Bloomington, IN Urban Area|111464675|13178|43.037|0.005|39.166091|-86.552907
08407|400C200US08407|Bloomington--Normal, IL Urban Area|130428760|571357|50.359|0.221|40.493771|-88.978991
08434|400C200US08434|Bloomsburg--Berwick, PA Urban Area|53729271|1385308|20.745|0.535|41.027288|-76.36377
08470|400C200US08470|Blowing Rock, NC Urban Area|8284152|113630|3.199|0.044|36.129182|-81.666326
08515|400C200US08515|Bluefield, WV--VA Urban Area|100245748|360007|38.705|0.139|37.269528|-81.255889
08542|400C200US08542|Bluffton, IN Urban Area|16844836|198848|6.504|0.077|40.751443|-85.162221
08601|400C200US08601|Bluffton East--Hilton Head Island, SC Urban Area|163717267|4707386|63.212|1.818|32.253775|-80.867672
08607|400C200US08607|Bluffton West, SC Urban Area|60366825|87316|23.308|0.034|32.271051|-80.966117
08623|400C200US08623|Blythe, CA--AZ Urban Area|16057046|109580|6.2|0.042|33.609113|-114.579244
08650|400C200US08650|Blytheville, AR Urban Area|37636443|0|14.532|0.|35.931893|-89.917459
08704|400C200US08704|Boerne, TX Urban Area|24967290|0|9.64|0.|29.779302|-98.718712
08731|400C200US08731|Bogalusa, LA Urban Area|28238847|77121|10.903|0.03|30.780619|-89.86476
08785|400C200US08785|Boise City, ID Urban Area|360674193|4954661|139.257|1.913|43.617616|-116.301508
08812|400C200US08812|Bolivar, MO Urban Area|15482443|21991|5.978|0.008|37.606027|-93.414705
08866|400C200US08866|Bolivar, TN Urban Area|12278310|0|4.741|0.|35.264176|-89.000544
08920|400C200US08920|Bonham, TX Urban Area|13023792|0|5.029|0.|33.587318|-96.181486
08974|400C200US08974|Bonita Springs--Estero, FL Urban Area|629330557|54311542|242.986|20.97|26.23611|-81.746589
09005|400C200US09005|Bonne Terre, MO Urban Area|5706262|53277|2.203|0.021|37.922602|-90.546587
09028|400C200US09028|Boone, IA Urban Area|19706640|3221|7.609|0.001|42.056076|-93.875484
09055|400C200US09055|Boone, NC Urban Area|47108125|172393|18.189|0.067|36.213842|-81.665197
09109|400C200US09109|Booneville, MS Urban Area|16497866|27004|6.37|0.01|34.661137|-88.555919
09163|400C200US09163|Boonville, IN Urban Area|7326458|34048|2.829|0.013|38.046847|-87.270935
09190|400C200US09190|Boonville, MO Urban Area|15169517|58042|5.857|0.022|38.961439|-92.746203
