GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
04573	Avra Valley, AZ Urban Cluster	C	10127160	0	3.91	0.	32.42773	-111.326681                                                                                                                           
04587	Aztec, NM Urban Cluster	C	16347645	307856	6.312	0.119	36.833998	-107.996013                                                                                                                       
04600	Bad Axe, MI Urban Cluster	C	6467859	0	2.497	0.	43.802506	-82.997959                                                                                                                               
04627	Bainbridge, GA Urban Cluster	C	26923241	491375	10.395	0.19	30.90486	-84.564687                                                                                                                    
04654	Baker City, OR Urban Cluster	C	13005090	178981	5.021	0.069	44.783476	-117.82877                                                                                                                   
04681	Bakersfield, CA Urbanized Area	U	358552872	2291269	138.438	0.885	35.362282	-119.030559                                                                                                            
04708	Bald Knob, AR Urban Cluster	C	5965725	0	2.303	0.	35.312219	-91.574315                                                                                                                             
04762	Baldwin, WI Urban Cluster	C	9552735	0	3.688	0.	44.975947	-92.428301                                                                                                                               
04789	Baldwin City, KS Urban Cluster	C	5321131	4437	2.055	0.002	38.777506	-95.18748                                                                                                                     
04816	Ballinger, TX Urban Cluster	C	5213629	0	2.013	0.	31.742194	-99.9558                                                                                                                               
04843	Baltimore, MD Urbanized Area	U	1856734366	65430319	716.889	25.263	39.234099	-76.64776                                                                                                             
04870	Baltimore, OH Urban Cluster	C	6950425	0	2.684	0.	39.843837	-82.587277                                                                                                                             
04897	Bamberg, SC Urban Cluster	C	7237563	0	2.794	0.	33.298561	-81.029974                                                                                                                               
04924	Bandon, OR Urban Cluster	C	5701925	14109	2.202	0.005	43.113779	-124.415518                                                                                                                        
04951	Bangor, ME Urbanized Area	U	109704371	3802117	42.357	1.468	44.835625	-68.746629                                                                                                                   
05005	Baraboo, WI Urban Cluster	C	16111381	186870	6.221	0.072	43.46854	-89.748766                                                                                                                       
05032	Barbourville, KY Urban Cluster	C	13092328	153192	5.055	0.059	36.860165	-83.855347                                                                                                                 
05059	Bardstown, KY Urban Cluster	C	44071162	382446	17.016	0.148	37.835762	-85.466                                                                                                                      
05086	Bar Harbor, ME Urban Cluster	C	4381189	0	1.692	0.	44.392257	-68.221833                                                                                                                            
05113	Barnesville, GA Urban Cluster	C	14027520	102435	5.416	0.04	33.052313	-84.154709                                                                                                                   
05140	Barnesville, OH Urban Cluster	C	5154235	31354	1.99	0.012	39.988847	-81.172633                                                                                                                     
