Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
07732,36007,148330,67664,172456210,8338130
07732,36107,7332,2956,16321470,636331
07732,42115,2422,1152,3248562,68681
07759,53073,12737,7626,32488967,130171
07786,01009,386,162,1022979,0
07786,01073,592559,273076,1034826594,4710536
07786,01115,8869,3876,17096386,51194
07786,01117,147681,60579,319478156,5679454
07813,04003,5541,3253,8079010,744
07824,37123,2821,1071,9166166,0
07840,06027,9935,4619,11034204,52109
07867,48355,3116,1256,3729026,0
07894,45061,5391,1712,5967131,0
07921,38015,63235,29188,75946203,924134
07921,38059,18720,8129,24435368,877246
07948,16011,15352,5686,32014685,71687
07975,55053,5677,2234,13913949,177517
08002,51121,70165,27974,106612663,141926
08002,51155,2450,1233,5846899,229118
08002,51750,15927,6223,20173135,200562
08029,13229,3873,1742,8712980,36538
08056,51135,3232,1476,4332326,3696
08083,40071,6916,3315,9123360,17842
08137,31177,7844,3312,10392987,0
08164,42063,6495,3043,13775018,75323
08164,42129,565,188,1976977,11604
08191,13099,3748,1513,7959061,0
08209,40051,698,249,2441399,0
08209,40087,2736,1142,6022955,4616
08218,39027,4184,1829,7533212,254701
08218,39165,0,0,7625,0
08245,49037,3264,1059,4325510,0
08272,26091,3303,1460,4705589,32155
08299,55017,3348,1566,5091688,335604
08326,18055,2521,1263,3171921,0
08353,35045,9892,3710,19538175,102374
08380,18105,108657,45637,116026934,51757
08407,17113,132600,54479,127410911,191841
08434,42037,39504,16542,64787423,1964684
08434,42079,4040,1893,5539895,1121573
08434,42093,8445,3989,11034755,45470
08434,42097,1629,725,3290535,2657
08461,12013,4751,1349,10210537,25169
08488,27043,3257,1595,4513876,41946
08515,51185,7189,3288,27301071,61147
08515,54055,36903,18178,82737772,373563
08542,18179,9952,4553,17208581,200160
08569,39003,4060,1473,5229664,164059
08569,39063,155,83,429631,0
08623,04012,931,652,1794402,2032
08623,06065,12036,4599,14206063,1391
08650,05093,18219,8386,23593055,74152
08677,41049,3362,1055,7455032,0
08704,48259,10467,4530,18135487,0
08731,22117,12213,5780,21462665,77121
08749,37019,4397,1975,9032547,1417543
08758,37045,4549,1401,9505844,0
08785,16001,349684,146177,346614209,4186091
08812,29167,9693,4184,13897852,21795
08839,39157,3717,1589,9363511,36192
08866,47069,5394,2220,12919261,0
08893,06039,8024,2732,23023957,0
08920,48147,9995,3332,13493327,0
08947,12059,4230,1268,9245651,27637
08974,12021,259499,172412,395018084,29258212
08974,12071,50799,37499,89205178,7796562
08992,42001,4427,1811,8233014,585978
09001,16021,2613,1288,5289017,64130
09028,19015,12793,5981,24016445,0
09055,37189,22763,8927,34878382,107718
09082,05083,3335,1554,4983017,0
09109,28117,6050,2565,14569539,23134
09163,18173,6258,2914,6685761,34048
09190,29053,8237,3256,11846229,164638
09190,29089,992,496,2983147,63234
09217,48065,0,0,350716,0
09217,48233,13574,6468,32195638,10993
09244,55043,3261,1322,3992582,0
09271,25005,124393,48925,279783629,8603720
09271,25009,711619,293914,866335377,51838972
09271,25017,1448845,592030,1520877614,54889995
09271,25021,643126,259618,852022136,31859410
09271,25023,387841,151547,760508526,25775882
09271,25025,721488,315522,148239009,12211550
09271,25027,50397,18866,106189454,4993572
09271,33011,9238,3314,38809007,405267
09271,33015,83800,35436,278608734,11121891
09271,44007,272,69,854062,170252
09298,08013,114591,51299,84139802,706602
09325,32003,13866,6981,15711236,0
09352,48337,5143,2459,10468604,46255
09379,21227,78306,32586,117592884,637255
09406,29163,5356,1493,5971079,19246
09433,39173,30738,12582,31854116,288367
09460,46093,2863,1024,3571266,0
09460,46103,5022,1849,17369117,18064
09487,26029,3501,2184,7179840,56507
09514,30031,43164,19927,50435005,123354
09532,48271,2862,1427,7113903,8272
09541,36009,10,6,90465,0
09541,42083,12073,5339,13635311,191141
09568,48307,5357,2489,7415354,23946
09600,17063,9867,4005,13647786,159938
09600,17197,12818,5724,25382858,1050886
09622,27035,19812,8945,45924777,3757719
09649,46099,8173,3009,8571969,10852
09676,29209,471,396,2696227,55538
09676,29213,22174,13642,71796604,1184620
09703,33005,9,8,32434,248978
09703,50025,9971,5047,12238695,92095
09730,06025,25032,8249,20535858,0
09784,48039,3908,1602,7897598,0
09801,22099,18465,7171,58894802,702733
09811,08117,7179,8216,16775101,0
09838,48429,5839,2704,9691154,9818
09865,17027,5800,2436,11868537,0
09892,13045,0,0,662894,0
09892,13143,6516,2762,16987474,20518
09919,18099,4663,1955,6228047,11642
09946,53035,198979,85027,353498946,81974047
09973,48477,15682,6354,21533700,49230
10000,01007,5525,1500,12493359,41883
10027,37175,13121,6464,31170105,86
10081,01053,6866,3258,15289363,66129
10135,48497,5646,1737,8808714,0
10162,09001,734927,290195,887019376,22403335
10162,09005,3586,1872,12094805,83031
10162,09009,139117,59867,273963780,7613007
10162,36119,45681,15565,34405208,593382
10189,34011,35022,10631,46061994,1200293
10198,10005,3343,1389,8155132,0
10297,55015,2968,1256,4073282,20810
10324,05095,2528,1251,5296889,20613
10351,47163,36130,16705,82085019,83060
10351,51191,15543,7390,50545758,35585
10351,51520,17828,8829,32840482,154265
10378,40037,4110,2000,4773080,9110
10405,51165,6228,2740,9347987,91039
10418,36055,18152,6640,27608980,227551
10418,36073,2103,1003,3119400,0
10426,42047,165,81,379598,4431
10426,42065,2691,1267,5838577,94966
10459,55045,3424,1468,4497959,0
10459,55105,82,48,161219,0
10513,31041,3537,1723,4930124,0
10540,40089,4253,1836,8870862,47943
10567,29115,4281,2153,7607999,17861
10594,28085,10635,4697,22858490,8189
10621,41015,10915,5757,18177036,329209
10648,46011,22482,8864,24560240,0
10675,26075,2773,1488,7674143,129303
10702,48473,4486,1565,6682526,0
10810,42065,4542,2143,9738674,195895
10837,48445,9530,3503,11681952,60714
10864,30035,4624,1460,4858013,72933
10891,34005,32114,10673,58555044,1422208
10891,34025,143,52,599470,0
10891,34029,5728,2108,15197687,87970
10918,18071,3149,1305,3989681,6999
10945,47075,9879,4323,14946170,0
10972,48061,217585,66404,211157541,8647684
10999,48049,22711,9690,43978058,0
11026,13127,51024,22277,112357237,2074205
11040,23005,15633,7443,38593457,1074131
11040,23023,13526,6749,25031563,715444
11053,24021,6720,2656,12463077,202841
11053,51107,1775,663,4883012,16520
11080,08087,5816,2450,6313105,0
11107,39171,9762,4630,16304428,56236
11134,04013,19424,7172,27103367,0
11161,54097,8731,3731,16014135,0
11175,13029,5168,1783,20071345,170258
11188,29095,3034,1225,6130525,7094
11215,39033,12401,5986,15968065,1247
11242,08015,4483,1699,9971730,88623
11269,51163,145,66,274510,32758
11269,51530,6391,2823,8574793,1850
11296,27171,15972,6226,21649636,3114966
11323,29059,3031,1481,5509664,2227
11350,36029,811544,376855,806228575,9870549
11350,36063,124362,59165,177786663,4525821
11377,56019,4368,2108,6152276,1106
11404,16083,4138,1772,4047942,0
11415,37085,5628,1801,9613310,31551
11431,04015,48476,27142,73673068,26608
11431,32003,180,146,1594861,0
11512,22009,4090,1876,5733437,3803
11539,22075,3767,1766,23382754,429649
11566,37141,3456,1258,6407470,0
11575,42125,3380,1621,6326715,0
11593,48485,10002,4366,13532127,0
11620,16031,11129,4140,15023316,1409085
