ZCTA5,Place GEOID,Population,Housing Units,Land Area,Water Area
02048,2538230,7360,3300,7136337,162094
02050,2527147,2430,1115,3997222,421345
02050,2538820,4335,1856,13123764,199824
02050,2538960,2356,904,11849947,936233
02050,2550862,4970,2880,5632311,2579222
02052,2539730,6483,2506,12815696,223710
02054,2541532,4403,1840,8108952,98914
02062,2550285,28602,12479,26828047,419990
02066,2549165,5077,1962,9699809,155321
02066,2560295,5245,2338,11124479,1597694
02067,2560820,5658,2145,7749296,101896
02081,2572460,5918,2587,7268222,286992
02090,2516530,18,7,7133,0
02090,2550285,0,0,25974,0
02108,2507000,3825,2278,354836,0
02109,2507000,3771,2462,449654,292691
02110,2507000,1733,1264,479769,234496
02111,2507000,7383,3628,669967,56933
02113,2507000,6915,4682,260829,0
02114,2507000,11999,7672,1164209,303495
02115,2507000,28441,10838,1834246,103612
02116,2507000,20628,12644,1632629,265681
02118,2507000,26498,12967,2850698,15328
02119,2507000,25346,11048,4136145,0
02120,2507000,15181,5335,1607730,0
02121,2507000,25978,10589,4520355,23476
02122,2507000,23479,8887,5263269,1641767
02124,2507000,47783,19053,7777026,186127
02125,2507000,33295,13263,5523791,799283
02126,2507000,25562,10151,5392506,62719
02127,2507000,31799,16409,5230991,1590045
02128,2507000,40508,15854,11738402,2856803
02128,2581005,0,0,822657,96069
02129,2507000,16439,8648,3492181,1266666
02130,2507000,35401,16016,8635553,328448
02131,2507000,29826,12286,6714525,12766
02132,2507000,25861,11341,11813317,248109
02134,2507000,21503,9664,3435273,117848
02135,2507000,42780,20834,6824138,572755
02136,2507000,28488,11092,11887342,279164
02138,2505105,9,4,5557,0
02138,2511000,36185,14877,7080478,838564
02138,2562535,120,68,11674,0
02139,2511000,36349,15402,4031035,368360
02140,2511000,17544,8610,2982817,53843
02140,2562535,63,28,5121,0
02141,2511000,11910,6596,1657355,29054
02142,2511000,3141,1794,716170,577829
02143,2562535,24514,11752,3981832,15276
02144,2562535,23891,11389,2802134,6468
02145,2539835,136,75,8590,0
02145,2562535,25303,10445,3606567,234798
02148,2521990,117,53,4707,0
02148,2537875,59386,25138,13059062,99890
02149,2513205,0,0,6798,0
02149,2521990,41550,16662,8866458,630370
02150,2513205,35124,12596,5718794,638247
02151,2507000,0,0,449279,8578
02151,2513205,53,25,3908,0
02151,2556585,51755,22100,14737359,3282754
02152,2507000,0,0,816392,149735
02152,2581005,17497,8320,4291916,2930181
02155,2537875,64,23,2673,0
02155,2539835,56037,23971,20973295,1443119
02155,2562535,1863,38,253543,12874
02163,2507000,2582,712,256727,32165
02169,2555745,55055,26481,23235908,3796812
02170,2555745,19505,8041,5394724,186181
02171,2555745,17711,8316,6357853,4944053
02176,2540115,26983,11751,12117823,219781
02180,2567700,21437,9458,15589590,1631902
02184,2507740,35744,14302,35608882,2108884
02186,2541725,27003,9700,33683860,765195
02186,2555745,0,0,13370,0
02188,2578972,14608,6521,9632561,378900
02189,2578972,14559,6292,9905564,925710
02190,2578972,16119,6904,18436640,1374554
02191,2578972,8457,3763,5242350,2721859
02199,2507000,1146,927,148951,0
02203,2507000,0,0,80317,0
02210,2507000,2090,1358,2399614,1404157
02215,2507000,26124,9323,1888571,280050
02215,2509210,1,1,90469,0
02301,2509000,61025,23673,32204729,441571
02302,2509000,32741,11857,23025347,67031
02332,2517860,1802,737,5718033,1171549
02332,2527147,179,194,650268,0
02332,2563690,3360,1342,7636889,3783404
02341,2528460,2118,719,4792585,633047
02343,2530420,10745,4261,18146751,280250
02346,2540885,7319,3004,10172160,257992
02347,2548220,2630,1098,13033032,338516
02351,2500135,15985,6377,24997470,617669
02351,2509000,44,22,9656,0
02359,2548710,3292,1241,11480101,3887
02360,2548780,3600,1675,3231794,1265927
02360,2554275,7494,3622,5797238,2831111
02360,2569585,955,557,2850753,0
02364,2533185,5591,2496,12442088,1954353
02368,2530420,46,13,633526,2188
02370,2563840,0,0,3202986,2867
02420,2535250,14052,5251,17052453,126708
02421,2535250,17342,6768,25510908,417186
02445,2509210,20679,8974,6740785,119571
02446,2509210,29311,14229,3333660,11957
02451,2572600,17426,7898,14303526,1828792
02452,2572600,14238,5033,9580492,86311
02453,2572600,28968,11995,9061760,736213
02457,2574210,1432,90,413241,0
02458,2545560,12131,5341,5185782,97094
02459,2545560,19095,6763,12962330,218481
02460,2545560,8742,3774,3480934,23292
02461,2545560,7059,2771,3767371,36499
02462,2545560,1554,668,1369318,69749
02464,2545560,2953,1287,1463154,29494
02465,2545560,11710,4520,5809240,1401
02466,2545560,8096,3090,4638221,214162
02467,2507000,5227,1256,1613334,10848
02467,2509210,8741,3244,7317482,31555
02467,2545560,8523,2500,3687773,99968
02468,2545560,5273,1930,3833292,57129
02472,2505105,56,22,5242,0
02472,2511000,33,12,70284,720
02472,2545560,10,4,886,0
02472,2572600,0,0,21636,1351
02472,2573440,31915,15584,10342579,318385
02474,2501640,26312,12317,7905847,706806
02476,2501640,16532,7657,5422176,191590
02478,2505105,24664,10158,12035126,185797
02481,2574210,16244,5044,14612716,246885
02482,2574210,10306,4055,10898492,1043141
02492,2544140,19931,7382,24655198,896958
02492,2574210,0,0,20197,13167
02494,2544140,8955,3740,7166369,220234
02532,2507140,1418,963,4356243,2191334
02532,2510015,3859,1659,4958563,2640689
02532,2542670,2288,1241,4982305,214322
02532,2558965,155,85,144595,0
02534,2554450,67,38,243366,52688
02536,2518980,6038,4678,14096126,2208258
02536,2569205,1692,1645,2662314,765240
02537,2520380,3314,1861,17757935,327809
02538,2551160,148,65,755527,0
02538,2579390,2106,930,2922428,376039
02540,2523070,3799,3279,5385914,436392
02540,2547730,20,22,313787,0
02540,2569205,0,0,66173,0
02540,2575960,1687,1404,7741350,2254655
02540,2581245,169,116,859642,0
02543,2581245,612,816,4665300,2078918
02553,2542670,226,176,636142,1769252
02554,2537735,236,684,5131573,999852
02554,2543755,7446,6554,15046577,2625533
02556,2547730,3064,2566,9806666,1149277
02556,2575960,51,27,227438,15168
02558,2551160,1425,1194,2037182,559147
02559,2542670,276,128,1041960,0
02559,2554450,2784,2339,9279706,3814056
02561,2558965,539,266,1591817,218387
02562,2558965,2912,1413,6371432,244254
02563,2520380,626,263,1510029,0
02563,2524190,144,50,607941,364365
02563,2558965,17,11,502415,0
02563,2559700,2962,1829,9372088,482937
02564,2561940,205,927,5484472,822664
02568,2571970,2114,1577,3196814,862637
02571,2573020,2896,1974,3758589,1148993
02571,2578410,24,10,819707,21337
02571,2578850,2105,1011,3286081,1090130
02576,2578410,2040,1033,8844377,147630
02576,2578850,0,0,0,161548
02601,2503690,14089,8062,22241669,2151579
02601,2578795,0,0,11371,0
02630,2503690,1850,1142,10386956,5115831
02631,2507945,2000,2156,10030385,149278
02632,2503690,10742,6171,18960855,3780163
